1007 Lausanne	(46.516054, 6.608998000000001)
Militärstrasse 84, 8004 Zürich	(47.3788038, 8.5297786)
Moa Club, 22 Chemin des Batailles, CP 575, 1214 Vernier	(46.2215927, 6.0869794)
Musée des Sciences 1202 Geneva	(46.2208359, 6.152032600000001)
Muttenzerweg, 4052 Basel	(47.5431385, 7.620475900000002)
Mythenquai 61, 8002 Zürich	(47.3588715, 8.536981599999999)
Mythenquai 95, 8002 Zürich	(47.35432609999999, 8.535362500000002)
Mühlenplatz 11, 3011 Bern	(46.94676, 7.456313700000003)
Mülhauserstrasse 17; 4058, Basel	(47.5698882, 7.583049600000001)
Münchensteinerstrasse 1, 4052 Basel	(47.5474016, 7.5985706)
Netzibodenstrasse 23; 4133, Pratteln	(47.5326193, 7.704231399999999)
Neubrückstr. 8, 3001 Bern	(46.9529304, 7.440377599999999)
Neubrückstrasse 8, 3012 Bern	(46.9529304, 7.440377599999999)
Neubrückstrasse 8; 3011, Bern	(46.9529304, 7.440377599999999)
Neumarktstrasse 35; 2503, Biel	(47.1368564, 7.2519624)
Neuweilerstrasse 139, 4123 Allschwil	(47.5362513, 7.524349399999999)
Nordhaus 3, 5400 Baden	(47.477796, 8.3072181)
Nüschelerstrasse 31, 8001 Zürich	(47.37228289999999, 8.535713499999998)
Oberfeldstrasse 12A, 8302 Kloten	(47.44926379999999, 8.5921316)
Ohmweg10; 2504, Biel	(47.14213849999999, 7.2627413)
Oslostrasse 12, 4053 Basel	(47.5330227, 7.6096961)
Papiermühlenstrasse 70, 3014 Bern-Wankdorf	(46.9646443, 7.4665272)
Parc du Denantou, Quai d'Ouchy, 1006 Lausanne	(46.5075103, 6.633922399999999)
Parkterrasse 16, 3012, Bern	(46.9493467, 7.43791)
Pelikanplatz, 8001 Zürich	(47.3710594, 8.535909)
Pelikanstrasse 18; 8001, Zürich	(47.3717637, 8.5363913)
Pestalozzi 4, 1202 Genève	(46.21696119999999, 6.130134199999999)
Pfingstweidstrasse 10, Zurich	(47.3880637, 8.5182402)
Pfingstweidstrasse 6, 8005 Zürich	(47.38793239999999, 8.518577899999999)
Pfingstweidstrasse 70; 8005, Zürich	(47.3898971, 8.5135188)
Piazza Alighieri Dante 8, 6900 Lugano	(46.00519020000001, 8.9510449)
Piazza Indipendenza 1, 6500 Bellinzona	(46.19030569999999, 9.022806299999997)
Pl. de la Gare; 1800, Vevey	(46.4618839, 6.843895099999999)
Place Centrale 1997 Nendaz	(46.22575440000001, 7.281970599999998)
Place Centrale, 1003 Lausanne	(46.5205636, 6.6318047)
Place Centrale, 1934 Bagnes	(46.0961644, 7.228975600000001)
Place Centrale, 1936, Verbier	(46.0961644, 7.228975600000001)
Place de Montbrillant, Geneva	(46.2100795, 6.141058399999999)
Place de l'Europe, 1003 Lausanne	(46.5204367, 6.630720900000001)
Place de l'Ile 1; 1200, Genève	(46.2047025, 6.141197799999999)
Place de la Gare, 1800 Vevey	(46.4618839, 6.843895099999999)
Place de la Gare, 1957 Ardon, Valais, Suisse	(46.2084859, 7.270119599999999)
Place des Volontaires 2, 1204 Genève	(46.2045212, 6.1372696)
Place des Volontaires 4; 1204, Genève	(46.2039678, 6.135890399999999)
Place du Tunnel 9; 1005, Lausanne	(46.5259346, 6.635055200000001)
Ponte Capriasca, Ticino	(46.0609216, 8.9479708)
Quai Gustave-Ador 1, 1207 Genève	(46.2043768, 6.1546031)
Quai Turrettini 1, 1201 Genève	(46.2058201, 6.1408384)
Quai du Général-Guisan, 1204 Genève	(46.2039777, 6.150204899999999)
Quai du Seujet 20, 1201 Genève	(46.205172, 6.135289999999999)
Rathausgasse 63, 3011 Bern	(46.9483859, 7.448730699999999)
Rathausgasse 9; 3280, Murten	(46.9285692, 7.116039000000001)
Rebgasse 12, 4058 Basel	(47.5610063, 7.593553900000002)
Repfergasse 17, 8200 Schaffhausen	(47.69771979999999, 8.6357929)
Rheingasse 17, 4058 Basel	(47.56043529999999, 7.591885999999999)
Rheingasse 8, 4058 Basel	(47.56036210000001, 7.591487600000001)
