,artist,genres_spotify,genres_ra,main_genres,top3_genres,genre
192,Dänu Brüggemann,None,,,,
193,Pesche Enderli,None,,,,
194,Ueli Enderli,None,,,,
195,Marc Rossier,None,,,,
196,Götz Widmann,"['german punk', 'kabarett', 'liedermacher', 'reggae fusion']",,,,
197,René Mosele,None,,,,
198,Dave Feusi,None,,,,
199,Alfred Vogel,None,,,,
200,Rainer Wöffler,None,,,,
201,Tanja Wirz,None,,,,
202,Christophe Dufaux,None,,,,
203,Gregor Müller,None,,,,
204,Dinner,None,,,,
205,Ebb & Flow Trio,None,,,,
206,Gabby Gordon,None,,,,
207,Kier Morten,None,,,,
208,Ronen Gorden,None,,,,
209,Omri Ziegele,None,,,,
210,Yves Theiler,None,,,,
211,Dario Sisera,None,,,,
212,Brothers in Blues,None,,,,
213,The Warlocks,"['dream pop', 'garage psych', 'garage rock', 'neo-psychedelic', 'noise pop', 'nu gaze', 'punk blues', 'shoegaze', 'space rock']",,,,
214,Dead Rabbits,['psych gaze'],,,,
215,Radioactivity,"['garage pop', 'garage punk', 'indie punk']",,,,
216,Bad Sports,"['garage pop', 'garage punk', 'indie punk']",,,,
217,Oil,"['australian alternative rock', 'australian pop', 'dance rock', 'new wave', 'rock']",,,,
218,Larry Woodley,None,,,,
219,Gaedon Luscher,None,,,,
220,Salvatore Lombardo,None,,,,
221,Studierende der ZHdK,None,,,,
222,Laurent Naouri,None,,,,
223,Sarah Tysman,None,,,,
224,The Hunters,None,,,,
225,Björk,"['alternative dance', 'art rock', 'chamber pop', 'electronic', 'icelandic pop', 'metropopolis', 'permanent wave', 'pop rock', 'synthpop', 'trip hop']",,,,
226,The Weeknd,"['canadian pop', 'pop']",,,,
227,Example,"['dance pop', 'edm', 'grime', 'hip house', 'house', 'pop', 'tropical house']",,,,
228,Wieni Keller,None,,,,
229,Buddha Scheidegger,None,,,,
230,Hans Schläpfer,None,,,,
231,Stevie Cochran,None,,,,
232,Nathaniel Robin Mann,None,,,,
233,Christoph Ess,None,,,,
234,Timo Steininger,None,,,,
235,Sebastian Schorr,None,,,,
236,Stephan Schottstätt,None,,,,
237,Yves Theier,None,,,,
238,Valentin Dietrich,None,,,,
239,Lukas Mantel,None,,,,
240,Scarlett O'Hanna,None,,,,
241,Gianluca Giger,None,,,,
242,Valerio Lepori,None,,,,
243,Mischa Maurer,None,,,,
244,Clemens Kuratle,None,,,,
245,Claudio Berger,None,,,,
246,Michael Wosahlik,None,,,,
247,Serge Hauri,None,,,,
248,Lukas Kurmann,None,,,,
249,Simon Gautsch,None,,,,
250,Rea Hunziker,None,,,,
251,Sascha Frischknecht,None,,,,
252,Tina Dico,None,,,,
253,Helgi Jonsson,None,,,,
254,Andreas Tschopp,None,,,,
255,Bernhard Bamert,None,,,,
256,Nils Wogram,['jazz brass'],,,,
257,Jan Schreiner,None,,,,
258,Pierre Favre,None,,,,
259,Markus Lauterburg,None,,,,
260,John Scofield,"['bebop', 'contemporary jazz', 'contemporary post-bop', 'cool jazz', 'gypsy jazz', 'jazz', 'jazz blues', 'jazz christmas', 'jazz funk', 'jazz fusion', 'modern blues', 'soul jazz']",,,,
261,Larry Goldings,"['contemporary jazz', 'contemporary post-bop', 'soul jazz']",,,,
262,Greg Hutchinson,None,,,,
263,Soul Sernenade,None,,,,
264,Urban Frey,None,,,,
265,Louis Schwizgebel,None,,,,
266,Albissers Buntwösch,None,,,,
267,Marc Storace,None,,,,
268,Jonas Gross,None,,,,
269,Philipp Moll,None,,,,
270,Stewy von Wattenwyl,None,,,,
271,Kevin Chesham,None,,,,
272,Daniela Lorenz,None,,,,
273,Letizia Fiorenza,None,,,,
274,David Sautter,None,,,,
275,Fabian Carisch,None,,,,
276,Giulia Cudini,None,,,,
277,Lydia Liebi,None,,,,
278,Bridget Greason-Sharp,None,,,,
279,Mathias Clausen,None,,,,
280,Leana Schmid,None,,,,
281,Maria Cristina Kiehr,None,,,,
282,Miriam Feuersinger,None,,,,
283,Lisa Lüthi,None,,,,
284,Marcus Niedermeyr,None,,,,
285,Monika Baer,None,,,,
286,Sergio Ciomei,None,,,,
287,Anica Defuns,None,,,,
288,Stephanie Pfeiffer,None,,,,
289,Franziska von Fischer,None,,,,
290,Fabienne Hadorn,None,,,,
291,Krishan Krone,None,,,,
292,Michael Wolf,None,,,,
293,Markus Mathis,None,,,,
294,Maru Rieben,None,,,,
295,Ruben Drole,None,,,,
296,Muriel Schwarz,None,,,,
297,Jonas Kreienbühl,None,,,,
298,Andrea Wiesli,None,,,,
299,Judith Imhof,None,,,,
300,Mirjam Blessing,None,,,,
301,Richard Resch,None,,,,
302,Ernst Buscagne,None,,,,
303,Christoph Rudolf,None,,,,
304,Ulla Westvik,None,,,,
305,Felix Rienth,None,,,,
306,Ismael Arróniz,None,,,,
307,Andreas Liebig,None,,,,
308,Nord-Hofmann-Stahel,None,,,,
309,Samir Joubran,['arab folk'],,,,
310,Wissam Joubran,['arab folk'],,,,
311,Adnan Joubran,['arab folk'],,,,
312,Youssef Hbeisch,None,,,,
313,Markus Hächler,None,,,,
314,Paul Tantanini,None,,,,
315,John Service,None,,,,
316,Thomas Grüninger,None,,,,
317,Rolf Winiger,None,,,,
318,Jonas Winterhalter,None,,,,
319,Sebastian von Keler,None,,,,
320,Oliver Friedli,None,,,,
321,Hagen Neye,None,,,,
322,Jan Schwinning,None,,,,
323,Xylouris White,None,,,,
324,Margrit Fluor,None,,,,
325,Marni Schwonberg,None,,,,
326,Sara Lilly,None,,,,
327,Anja Kühn,None,,,,
328,Nicolas Savoy,None,,,,
329,Christian Villiger,None,,,,
330,Hidden Orchestra,"['acid jazz', 'compositional ambient', 'dark jazz', 'fourth world', 'indie jazz', 'ninja', 'nu jazz', 'trip hop']",,,,
331,support: Andrea Belfi,None,,,,
332,Lisa Batiashvili,"['classical performance', 'classical piano', 'orchestral', 'violin']",,,,
333,Valeriy Sokolov,None,,,,
334,Gérard Caussé,None,,,,
335,Gautier Capuçon,None,,,,
336,Frank Braley,None,,,,
337,Editors,"['alternative dance', 'alternative rock', 'britpop', 'dance-punk', 'garage rock', 'indie rock', 'new rave', 'rock']",,,,
338,Bugge Wesseltoft,"['contemporary jazz', 'dark jazz', 'fourth world', 'indie jazz', 'norwegian indie', 'norwegian jazz', 'nu jazz']",,,,
339,Lisa Berg,None,,,,
340,David Ruosch,None,,,,
341,Christoph Grab,None,,,,
342,Christian Ginat,None,,,,
343,Stefan Müller,None,,,,
344,Johann Sonnleitner,None,,,,
345,Jozsef Sarkozy,None,,,,
346,Anthony Caputo,None,,,,
347,Amadeus Fries,None,,,,
348,Fabian Hänni,None,,,,
349,Elio Amberg,None,,,,
350,Laura Schenk,None,,,,
351,Duke Gale,None,,,,
352,Lukas Kohler,None,,,,
353,Murder By Death,"['dreamo', 'folk punk', 'indie folk', 'stomp and holler']",,,,
354,Darkmoon,None,,,,
355,Finsterforst,"['folk metal', 'german metal', 'heavy christmas', 'medieval rock', 'neue deutsche harte', 'viking metal']",,,,
356,Rachel Harnisch,None,,,,
357,Judith Schmid,None,,,,
358,Martin Zysset,None,,,,
359,Klaus Mertens,None,,,,
360,André Briel,None,,,,
361,Luca Sestak,"['boogie-woogie', 'piano blues']",,,,
362,Tyler The Creator,"['escape room', 'gangster rap', 'hip hop', 'indie r&b', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']",,,,
363,Cristina Branco Quartett,None,,,,
364,Cristina Branco,"['fado', 'morna']",,,,
365,Ricardo Dias,None,,,,
366,Jose Manuel Neto,None,,,,
367,Bernardo Moreira,None,,,,
368,Gregor Meyle,"['deep german pop rock', 'german pop', 'german pop rock']",,,,
369,Raphael Walser,None,,,,
370,Roland Wäspe,None,,,,
371,Urs Müller,None,,,,
372,David Meier,None,,,,
373,Roman Nowka,None,,,,
374,Samuel Kühni,None,,,,
375,Gino Sitson,['makossa'],,,,
376,James Uhart,['deep jazz piano'],,,,
377,Stephan Kurmann,None,,,,
378,Julio Barreto,None,,,,
379,Michael Süess,None,,,,
380,Nicolas Indlekofer,None,,,,
381,Basil Zinsli,None,,,,
382,Daniel Affentranger,None,,,,
383,Lars Schmid,None,,,,
384,Pino Zortea,None,,,,
385,Carlos Ramirez,None,,,,
386,Freddy Benitez,None,,,,
387,Daniel Portmann,None,,,,
388,Arthur Furrer,None,,,,
389,Dead City Ruins,None,,,,
390,Sophie's Earthquake,None,,,,
391,Mike & the Mechanics,"['album rock', 'dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'progressive rock', 'soft rock']",,,,
392,Everton Coroné Trio,None,,,,
393,Live: Quinteto Mulenga,None,,,,
394,Weekend Phantom,None,,,,
395,Wehadtoleave,None,,,,
396,Big John Bates,['psychobilly'],,,,
397,Atze Datze,None,,,,
398,Galmet,None,,,,
399,Dirty Fences,"['garage pop', 'garage punk']",,,,
400,Go Zilla,None,,,,
401,Vojko Huter,None,,,,
402,Paul Amereller,None,,,,
403,Xaver Rüegg,None,,,,
404,Tapiwa Svosve,None,,,,
405,R. A. The Rugged Man,None,,,,
406,DJs Texx Be,None,,,,
407,The Goddamn Gallows,['psychobilly'],,,,
408,Martin Grubinger,['mallet'],,,,
409,Valer Sabadus,None,,,,
410,Karen Gomyo,None,,,,
411,Milo Karadagli,None,,,,
412,Maria Anikina,None,,,,
413,Rie Koyama,None,,,,
414,Oleksandra Kopan,None,,,,
415,Volker Biesenbender,None,,,,
416,Bernhard Bücker,None,,,,
417,Michelagelo Rinaldi,None,,,,
418,Trigger,None,,,,
419,Ian Maksin,None,,,,
420,Jaco McPhearson,None,,,,
421,Stormy Monday,None,,,,
422,John Dolby DiBoy,None,,,,
423,Tom Wallie,None,,,,
424,Pedro Jezerbaum,None,,,,
425,Joaquín Achúcarro,None,,,,
426,Alex Hendriksen Quartet,None,,,,
427,Christoph Ràcz,None,,,,
428,Ferenc Rados,None,,,,
429,Ludwig Geiger,None,,,,
430,Jürg Bitterli,None,,,,
431,Esther Hoppe,None,,,,
432,Jürg Dähler,None,,,,
433,Thomas Grossenbacher,None,,,,
434,Christine Pollerus,None,,,,
435,Tribute to George Gruntz,None,,,,
436,Downright,['italian punk'],,,,
437,The Goon Mat & Lord Benardo,None,,,,
438,Daniil Trifonov,"['classical performance', 'classical piano', 'orchestral', 'violin']",,,,
439,Caro Emerald,"['dutch pop', 'electro swing', 'nu jazz']",,,,
