location,event,date,artists,genre,coordinates
Binningen,Binninger-Orgelsommer-Eröffnungskonzert,2013-07-04,['Markus Schwenkreis '],Classic,"(47.5378697, 7.570987799999998)"
Luzern,Salonmusik,2013-07-04,"['Martin Schaefer ', ' Richard Decker ']",Classic,"(47.05016819999999, 8.309307200000001)"
Montreux-Music-&-Convention-Centre,Montreux,2013-07-04,['Leonard Cohen '],,"(46.4392045, 6.904621100000001)"
Montreux-Music-&-Convention-Centre,Montreux,2013-07-04,['Lianne La Havas '],,"(46.4392045, 6.904621100000001)"
-Alte-Kirche,Boswil,2013-07-04,"['Kit Armstrong ', ' Shani Diluka ', ' Stephan Mai ', ' Corinne Chapelle ', ' Razvan Popovici ', ' Maximilian Hornung ']",Classic,"(47.30297299999999, 8.320458000000002)"
Zürich,Urban-Kicks-&-Inner-Landscapes,2013-07-04,"[' Omri Ziegele ', ' Isa Wiss ', ' Jürg Wickihalder ', ' Nick Gutersohn ', ' Gabriela Friedli ', ' Yves Reichmuth ', ' Jan Schlegel ', ' Herbert Kramis ', ' Marco Käppeli ', ' Dieter Ulrich ']",,"(47.3768866, 8.541694)"
Montreux,Montreux-Jazz-Festival,2013-07-04,"['Rodriguez ', "" Melody's Echo Chamber ""]",,"(46.4312213, 6.910679899999999)"
Zürich,Firewater,2013-07-04,['Firewater '],,"(47.3768866, 8.541694)"
Basel,Schönhaus-Express-feat.-Lisette-Spinnler,2013-07-04,"[' Lisette Spinnler ', ' Sascha Schönhaus ', ' Hans-Peter Pfammatter ', ' Bänz Oester ', ' Norbert Pfammatter ']",,"(47.55959860000001, 7.588576099999999)"
Piazza-Grande,Locarno,2013-07-04,['ZZ Top '],,"(46.1695945, 8.795855999999999)"
Luzern,Jam-Session,2013-07-04,['Richard Decker '],,"(47.05016819999999, 8.309307200000001)"
Winterthur,The-Temptress,2013-07-04,"['Evelinn Trouble ', ' Flo Götte ', ' Tobi Schramm ']",,"(47.49881959999999, 8.723688899999999)"
Luzern,Lilibiggs-Kinder-Festivals,2015-06-13,['Deine Freunde '],Pop,"(47.05016819999999, 8.309307200000001)"
Winterthur,Luiz-Simas,2015-06-13,['Luiz Simas '],,"(47.49881959999999, 8.723688899999999)"
Interlaken,Greenfield-Festival,2015-06-13,['Lagwagon '],,"(46.6863481, 7.863204899999999)"
Wil,Rock-am-Weier,2015-06-13,[' Der Jungbrunn '],Pop,"(47.46356169999999, 9.047909699999998)"
Interlaken,Greenfield-Festival,2015-06-13,"['Heaven Shall Burn ', ' The Gaslight Anthem ', ' Danko Jones ', ' Powerwolf ']",,"(46.6863481, 7.863204899999999)"
Zürich,Festspiele-Zürich-Vier-Chinesen-mit-dem-Kontrabass,2015-06-13,"['Gallus Burkhard ', ' Ute Grewel ', ' Kamil Losiewicz ', ' Konzept: Frank Sanderell ']",Classic,"(47.3768866, 8.541694)"
Basel,Masterrezital,2015-06-13,"['Pedro Pablo Cámara Toldos ', ' João Carlos Pacheco ', ' Haize Lizarazu ']",Classic,"(47.55959860000001, 7.588576099999999)"
Basel,Imagine-Festival,2015-06-13,"['Reptile Youth ', ' Roosevelt ', ' Akua Naru ']",,"(47.55959860000001, 7.588576099999999)"
Riehen,Beethovenquartett-in-der-Orangerie-im-Sarasinpark,2015-06-13,"['Mátyás Bartha ', ' Laurentius Bonitz ', ' Vahagn Aristakesyan ', ' Carlos Conrad ']",Classic,"(47.58482739999999, 7.649911100000001)"
Zürich,Festspiele-Zürich-Concours-Géza-Anda,2015-06-13,[' 3. Runde: Mozartprüfung '],Classic,"(47.3768866, 8.541694)"
Zürich,Zigeunerlieder,2015-06-13,[' Mikayel Balyan '],Classic,"(47.3768866, 8.541694)"
Kriens,B-Sides-Festival,2015-06-13,"['Black Mountain ', ' Dels ', ' Gazelle Twin ', ' Bassekou Kouyaté ']",Electronic,"(47.03419779999999, 8.277255199999997)"
Brig,Larmes-Chor-und-Orchesterkonzert,2015-06-13,"[' Isabel Pfefferkorn ', ' Yves Brühwiler ']",Classic,"(46.3158992, 7.987820799999999)"
Basel,Elias,2015-06-13,"[' Sibylla Rubens ', ' Miriam Wettstein ', ' Johannes Kaleschke ', ' Hanno Müller-Brachmann ']",Classic,"(47.55959860000001, 7.588576099999999)"
Zürich,Benefizkonzert-für-HEKS-und-Fukushima-in-Japan,2015-06-13,"[' Yuka Tsuboi ', ' Fanny Pestalozzi ', ' Olivia Schenkel ', ' Hildegard Bilger ', ' Seiji Yokota ', ' works by Kotaro Nishishita ']",Classic,"(47.3768866, 8.541694)"
Bern,Faszination-Klang-Ma(h)lerei,2015-06-13,"[' Patrizio Mazzola ', ' Barbara La Faro ']",Classic,"(46.9479739, 7.447446800000001)"
Zürich,Celebrations,2015-06-13,"[' Brigitte Grether ', ' Franziska Lips ', ' Ioanna Seira ']",Classic,"(47.3768866, 8.541694)"
Sissach,Klanglichter-Lecture-Recital,2015-06-13,['Adrian Oetiker '],Classic,"(47.4643945, 7.810661)"
Zürich,Zaphir,2015-06-13,['Zaphir '],,"(47.3768866, 8.541694)"
Basel,Intime-Skizzen,2015-06-13,"[' Ivana Pristaová ', ' Petra Ackermann ', ' Karolina Öhman ', ' Tamriko Kordzaia ']",Classic,"(47.55959860000001, 7.588576099999999)"
Zürich,The-History-of-Rock-Club-27,2015-06-13,['The Doors Experience '],,"(47.3768866, 8.541694)"
Zug,Ossobucco,2015-06-13,"[' Jürg Wylenmann ', ' Werner Iten ', ' Mario Gentinetta ']",,"(47.1661672, 8.5154946)"
Zürich,Jack-&-The-Bearded-Fishermen,2015-06-13,['Jack & The Bearded Fishermen '],,"(47.3768866, 8.541694)"
Zürich,Still-Patient-,2015-06-13,['Still Patient? '],,"(47.3768866, 8.541694)"
Zug,The-Whiskey-Foundation,2015-06-13,['The Whiskey Foundation '],,"(47.1661672, 8.5154946)"
Basel,Jovino-Santos-Neto-Trio,2015-06-13,"[' Jovino Santos Neto ', ' Stephan Kurmann ', ' Mauro Martins ']",,"(47.55959860000001, 7.588576099999999)"
Zürich,Süperstar-Orkestar,2015-06-13,"[' Magnus Hedenborg ', ' David Bryntesson ', ' Jens Edenhed ', ' Jonas Jersild ', ' Håkan Säfvestat ']",,"(47.3768866, 8.541694)"
