	[]
Finnebassen	['disco', 'deep', 'groove room', 'house music', 'house music', 'disco', 'rap', 'house music', 'hip hop', 'house music', 'disco', 'deep', 'groove room', 'house music', 'house music', 'disco', 'deep', 'groove room', 'house music', 'house music']
Flavio Sunday Breakfast	[]
Floor 1  Shrubbn	[]
Floor 2  Miss Flora	[]
Fourth Kind	[]
Franck C	[]
Franco Bianco	['disco', 'rap', 'techno', 'ambient', 'techno']
Franky Fourfingers	[]
G Work	[]
GD	['k-pop', 'k-pop', 'k-pop']
GHETTO PO	[]
GL Everest	[]
Georg Stuby	[]
Georg Stuby Naturklang	[]
GetBuzz	[]
Ghetto Po	[]
Gleichschritt	[]
Goldfinger Brothers	['hip hop', 'hip hop', 'hip hop']
Greg Brockmann Half Baked	[]
Greg la Brelle	[]
Gregorythme	['techno', 'techno']
Gunnar Guess Naturklang	[]
Gypsis	[]
Heimat	['hip hop']
HiGY	[]
Housemeister	['techno', 'disco', 'rap', 'dub', 'techno', 'ambient', 'house music', 'techno', 'techno', 'techno']
Huazee	[]
Hug & Schiemann	[]
Ian F Colours	[]
Instant Rave	[]
Intro by Rocca & Dineo	[]
JD Hakulinen	[]
JOHNNY QUEST	['kc indie', 'indie', 'kc indie', 'indie', 'kc indie', 'indie']
James Mc Hale	[]
James Mc Hale Sunday Breakfast	[]
Jamie Jones	['disco', 'house music', 'microhouse', 'techno', 'techno', 'house music', 'techno', 'techno', 'house music', 'techno', 'disco', 'house music', 'microhouse', 'techno', 'techno', 'house music', 'techno', 'disco', 'house music', 'microhouse', 'techno', 'techno', 'house music', 'techno']
Jamie Lewis	['disco', 'house music', 'disco', 'house music', 'disco', 'house music']
Janina	['concert piano', 'disco', 'rap', 'techno', 'concert piano', 'concert piano']
Jaso LIVE	[]
Jay Mas	[]
Jibone	[]
Joe Claussell	['hip hop', 'rap', 'house music']
Joyce Muniz	['disco', 'vienna indie', 'disco', 'vienna indie', 'disco', 'vienna indie']
Juliano Lopez	['disco', 'rap']
JuniorB	[]
KONPIUTALIVE	[]
KiYota	[]
Konpiuta	[]
Kufanya	[]
König Balthasar	[]
LA MINE EXPRESS	[]
LEE  O	[]
Laurent Charbon	['disco', 'rap', 'hip hop']
Lazare Hoche & SAM & Malin Genie	['rap', 'house music', 'house music', 'house music', 'house music', 'jungle', 'rap', 'house music', 'house music', 'house music', 'house music']
Le Citadin	[]
Le Noir	['african gospel', 'azontobeats', 'soukous', 'disco', 'rap', 'techno', 'house music', 'techno', 'african gospel', 'azontobeats', 'soukous', 'african gospel', 'azontobeats', 'soukous']
Lehar	['classical', 'romantic', 'disco', 'rap', 'classical', 'romantic', 'classical', 'romantic']
Leke da Loco	[]
Leo	['hip hop', 'techno', 'house music', 'hip hop', 'house music', 'techno']
Lino Loud	[]
Los Wenamigos	[]
Luca F	[]
Luca de Grandis	[]
Lui Young	['disco', 'rap', 'techno', 'techno']
Lukie Wyniger aka UNCLE PENG PENG	[]
Lukie Wyniger aka Uncle Peng Peng	[]
Léonard de Léonard	[]
MANDY  Patrick	[]
MARC BENZ	[]
MAX CELLI	[]
MC Jay	[]
Main Floor	[]
Mandar	[]
Marco da Mata	[]
Marcos	['hip hop', 'disco', 'techno', 'house music', 'techno', 'house music']
Marosh Kopp	[]
Marque Aurel	[]
Marrocco	[]
Martelli	['channel pop', 'channel pop', 'channel pop']
Marvin J	[]
Masa Saji	[]
Masaya	['hip hop', 'techno', 'hip hop', 'hip hop', 'house music', 'techno']
Matthias Tanzmann	['techno', 'microhouse', 'techno', 'techno', 'house music', 'disco', 'rap', 'techno', 'post-disco', 'house music', 'house music', 'techno', 'microhouse', 'techno', 'techno', 'house music', 'techno', 'microhouse', 'techno', 'techno', 'house music']
Mattoo	['disco', 'dub', 'techno', 'rock', 'house music']
Memnok	['techno', 'techno']
Mia Kaltes  Finefood Records  Switzerland	[]
Michael Fate	[]
Miguel	['pop', 'deep pop r&b', 'hip hop', 'hip hop', 'r&b', 'pop', 'pop', 'r&b', 'rap', 'hip hop', 'trap', 'urban contemporary', 'disco', 'rap', 'house music', 'pop', 'deep pop r&b', 'hip hop', 'hip hop', 'r&b', 'pop', 'pop', 'r&b', 'rap', 'hip hop', 'trap', 'urban contemporary', 'pop', 'deep pop r&b', 'hip hop', 'hip hop', 'r&b', 'pop', 'pop', 'r&b', 'rap', 'hip hop', 'trap', 'urban contemporary']
Mihigh	['techno', 'house music', 'techno']
Mike Shannon	['microhouse', 'techno', 'hip hop', 'disco', 'rap', 'techno', 'house music', 'techno', 'microhouse', 'techno', 'microhouse', 'techno']
Mirax	[]
Monkey Safari	['disco', 'deep', 'deep', 'techno', 'house music', 'house music', 'disco', 'rap', 'techno', 'techno', 'disco', 'deep', 'deep', 'techno', 'house music', 'house music', 'disco', 'deep', 'deep', 'techno', 'house music', 'house music']
Moonharbour	[]
Morard	[]
Morgan Tomas	['techno', 'minimal', 'disco', 'rap', 'techno', 'techno', 'minimal', 'techno', 'minimal']
Mucho Stylez	['disco', 'rap', 'techno', 'techno']
Music P	['disco', 'rap', 'hardcore']
NUKEM	['disco', 'rock', 'house music']
Nabin	[]
Nekow Newfact Music	[]
Nelson De Jesus	[]
Nico Morano	['disco', 'rap']
Nico Pusch	['house music', 'house music', 'house music']
Nicola Kazimir	['disco', 'rap']
Nicolas Duvoisin	['disco', 'rap']
Nik Frankenberg	[]
Nikos Voutsas	[]
Noir	['chamber psych', 'indie r&b', 'shimmer pop', 'pop', 'hip hop', 'disco', 'rap', 'techno', 'hip hop', 'house music', 'hip hop', 'house music', 'house music', 'techno', 'chamber psych', 'indie r&b', 'shimmer pop', 'pop', 'chamber psych', 'indie r&b', 'shimmer pop', 'pop']
Nôze	['microhouse', 'techno', 'microhouse', 'techno', 'microhouse', 'techno']
Oli Allen	[]
Oram Modular	[]
Oslo	['orchestral', 'orchestral', 'orchestral']
OstGut TonEdinburgh	[]
Osunlade	['house music', 'house music', 'disco', 'house music', 'house music', 'disco', 'house music', 'house music', 'disco']
Oxia	['house music', 'deep', 'microhouse', 'techno', 'techno', 'house music', 'techno', 'hip hop', 'disco', 'rap', 'techno', 'downtempo', 'house music', 'techno', 'house music', 'deep', 'microhouse', 'techno', 'techno', 'house music', 'techno', 'house music', 'deep', 'microhouse', 'techno', 'techno', 'house music', 'techno']
PR3SNT	['disco', 'rap', 'techno', 'house music', 'techno']
Pawlikowski	['classic polish pop', 'classic polish pop', 'classic polish pop']
Perry Pierce & Doncivico	[]
Petre Inspirescu	[]
Philippe	['choral', 'classical christmas', 'classical', 'harpsichord', 'orchestral', 'choral', 'classical christmas', 'classical', 'harpsichord', 'orchestral', 'choral', 'classical christmas', 'classical', 'harpsichord', 'orchestral']
Praslea arpiar	[]
Prosumer	['house music', 'techno', 'disco', 'rap', 'techno', 'house music', 'house music', 'techno', 'house music', 'techno', 'house music', 'techno']
RAPU B2B Nekow	[]
Ramon Lorenzo	[]
Raresh	[]
Reloading rec	[]
Residents	['rock', 'canterbury scene', 'rock', 'experimental', 'experimental', 'fourth world', 'industrial', 'industrial music', 'rock', 'no wave', 'rock', 'outsider', 'post-punk', 'post', 'zolo', 'rock', 'canterbury scene', 'rock', 'experimental', 'experimental', 'fourth world', 'industrial', 'industrial music', 'rock', 'no wave', 'rock', 'outsider', 'post-punk', 'post', 'zolo', 'rock', 'canterbury scene', 'rock', 'experimental', 'experimental', 'fourth world', 'industrial', 'industrial music', 'rock', 'no wave', 'rock', 'outsider', 'post-punk', 'post', 'zolo']
Rhadoo arpiar	[]
Rozzo	['techno', 'techno', 'techno']
Ryan Hawkin	['disco', 'rap', 'techno', 'techno']
Ryan Hawkin & Konpiuta	['rap']
S Rubinfeld Live Act & Vinyl only	[]
SIMON EFFECT	[]
SNARDI	[]
Salzunpepper	[]
Sam Bangura Half Baked	[]
Sammy Dee	['hip hop', 'rap', 'hip hop']
Sascha Braemer	['house music', 'deep', 'techno', 'house music', 'house music', 'house music', 'deep', 'techno', 'house music', 'house music', 'house music', 'deep', 'techno', 'house music', 'house music']
Sayan Sobuth	['rap']
Schwebekasten	[]
Scott Bradford	['rap', 'house music', 'hardcore', 'house music']
Seb Blake	['disco']
Sebastian Wojkowski	[]
Servet Argin	[]
Shabba	['dancehall', 'rock', 'reggae', 'reggae', 'reggae', 'dancehall', 'rock', 'reggae', 'reggae', 'reggae', 'dancehall', 'rock', 'reggae', 'reggae', 'reggae']
Shonky	['disco', 'techno', 'disco', 'techno', 'disco', 'techno']
Silencio	['rock', 'rock', 'spanish pop', 'spanish', 'rock', 'rock', 'spanish pop', 'spanish', 'rock', 'rock', 'spanish pop', 'spanish']
Skaos	['euroska', 'ska', 'ska', 'euroska', 'ska', 'ska', 'euroska', 'ska', 'ska']
Skizofred	[]
Stealth RecordsUK	[]
Steiner	['soundtrack', 'soundtrack', 'soundtrack']
Stimming	['disco', 'deep', 'deep', 'techno', 'microhouse', 'techno', 'techno', 'house music', 'hip hop', 'disco', 'rap', 'hip hop', 'trap', 'disco', 'deep', 'deep', 'techno', 'microhouse', 'techno', 'techno', 'house music', 'disco', 'deep', 'deep', 'techno', 'microhouse', 'techno', 'techno', 'house music']
Stipé	[]
Strassenmajor	[]
Supersonic Sound	[]
Swit Honey	[]
Symphonix LIVE	[]
System RecSUI	[]
TBird	[]
TIVE	['house music', 'breakbeat', 'dub', 'techno', 'techno', 'house music', 'house music']
The Cruzaders	['disco', 'rap', 'rock']
The Cube Guys	['disco', 'rap', 'rock', 'house music']
Tiari	['hip hop', 'rap', 'hip hop', 'trap']
Timbee Rec	[]
TimbeeSUI	[]
Timoteo LET	[]
Timoteo Les Enfants Terribles	[]
Tonic	['rock', 'neo mellow', 'rock', 'post-grunge', 'rock', 'neo mellow', 'rock', 'post-grunge', 'rock', 'neo mellow', 'rock', 'post-grunge']
Twisted FrequencySUI	[]
Tyrone B Nelson	['hip hop', 'hip hop', 'hip hop']
USA	[]
Undercatt	['house music', 'house music', 'house music']
Vario Volinski	['house music', 'house music', 'house music', 'house music', 'house music', 'house music']
Vlnolam Kawumski	[]
Woody	['acoustic blues', 'blues', 'blues', 'folk', 'folk', 'blues', 'singer-songwriter', 'blues', 'traditional', 'traditional', 'disco', 'rap', 'techno', 'rock', 'house music', 'techno', 'acoustic blues', 'blues', 'blues', 'folk', 'folk', 'blues', 'singer-songwriter', 'blues', 'traditional', 'traditional', 'acoustic blues', 'blues', 'blues', 'folk', 'folk', 'blues', 'singer-songwriter', 'blues', 'traditional', 'traditional']
XOSE	[]
Xose	[]
Yan & Dan	['rap']
Yare	[]
ZOO	[]
ieva	[]
ruffPack international	[]
