artists,date,event,genre,location
"['Jürgen Waidele & Friends feat. Elysa Kay ', ' Elysa Kay ', ' Arno Haas ', ' Rainer Apel ', ' Peter Keller ', ' Alex Friedrich ']",2013-01-07,Jürgen-Waidele-&-Friends-feat.-Elysa-Kay,"['Hip', 'Hop', ""R'n'B""]",Flawil
"[' Gudrun Petruschka ', ' Alice Borciani ', ' Claire Pigagnol ', ' Leonardo Bortolotto ']",2013-01-08,Mittagskonzert,['Classic'],Basel
"[' Dave Ruosch ', ' Christoph Grab ']",2013-01-08,Zürich,"['Christoph', 'Grab']",Lebewohlfabrik
"['Jürg Lietha ', ' Peter Schneider ']",2013-01-08,Organ-Meets-Jazz,['Classic'],Zürich
"[' Cornelia Arn ', ' Res Hafner ', ' Roli Kneubühler ', ' Andreas Zingre ']",2013-01-08,La-folia,"['world', 'music']",Zürich
"[' Markus Eichenberger ', 'Daniel Studer ']",2013-01-08,Eichenberger-Studer,"['Jazz', 'Blues', 'Soul']",Zürich
"[' Harry Lenherr ', ' Danny Reichlin ', ' Pistolero Pepe ']",2013-01-08,Pistolero-Pepe-&-Black-Shirt-Samurais,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Reussbühl
"[' Domenic Landolf ', ' Rita Ékes ', ' Michael Beck ', ' Eva Kesselring ', ' Dominic Egli ']",2013-01-08,Eva-Kesselring-feat.-Domenic-Landolf,"['Jazz', 'Blues', 'Soul']",Basel
['Silvia Harnisch '],2013-01-08,Klavierrezital,['Classic'],Wengen
"['Martin Dahanukar ', ' Martin Dahanukar ', ' Vinz Vonlanthen ', ' Samuel Joss ', ' Peter Horisberger ']",2013-01-08,Martin-Dahanukar,"['Jazz', 'Blues', 'Soul']",Zürich
[' Jürg Dähler '],2013-01-09,Winterträume,['Classic'],Winterthur
"['Aurel Hassler ', ' Christian Winiker ', ' Mani Zweili ', ' Mike Malloth ']",2013-01-09,Jam-Night,"['Hip', 'Hop', ""R'n'B""]",Luzern
[' Nelson Goerner '],2013-01-09,AMG-Sinfoniekonzert-Klassik,['Classic'],Basel
[' Emanuel Ax '],2013-01-09,Konzert,['Classic'],Zürich
[' Jürg Dähler '],2013-01-09,Winterträume,['Classic'],Winterthur
"[' Adi Pflugshaupt ', ' Hans Feigenwinter ', ' Herbie Kopf ', ' Pius Baschnagel ']",2013-01-09,Herbies-Explo-3000,"['Jazz', 'Blues', 'Soul']",Zug
"['Christian Rösli ', ' Georg Hofmann ', ' Hermann Bühler ']",2013-01-09,Das-goldene-Tor-frei-nach-Srkjabin,"['Jazz', 'Blues', 'Soul']",Winterthur
"['Doran-Känzig-Hemingway ', ' Christy Doran ', ' Heiri Känzig ', ' Gerry Hemingway ']",2013-01-09,Doran-Känzig-Hemingway,"['Jazz', 'Blues', 'Soul']",Zürich
"[' Domenic Landolf ', ' Rita Ékes ', ' Michael Beck ', ' Eva Kesselring ', ' Dominic Egli ']",2013-01-09,Eva-Kesselring-feat.-Domenic-Landolf,"['Jazz', 'Blues', 'Soul']",Basel
"[' Markus Schmied ', ' Yosvany Quintero ', ' Carlo Menger ', ' Michael Anklin ']",2013-01-09,Monthly,"['Jazz', 'Blues', 'Soul']",Basel
"['Angelika Kirchschlager ', ' Helmut Deutsch ']",2013-01-10,Liederabend,['Classic'],Zürich
['Hans Christoph Begemann '],2013-01-10,5.-Tonhallekonzert,['Classic'],null
"[' Jürg Zurmühle ', ' Stefan Keller ']",2013-01-10,Shakuhachi-Flöten-und-Elektronik,"['world', 'music']",Aarau
['Roland Raphael '],2013-01-10,Brillante-Neujahrs-Konzertgala,['Classic'],Luzern
"[' Rebecca Spiteri ', ' Jürg Ramspeck ', ' Joel Reiff ', ' Rolf Lyssy ']",2013-01-10,Easy-Listening-Music-Quartet,"['Jazz', 'Blues', 'Soul']",Zürich
[' Emanuel Ax '],2013-01-10,Konzert,['Classic'],Zürich
"[' Christoph Prégardien ', ' Olivier Darbellay ']",2013-01-10,Nachtgedanken,['Classic'],Bern
"['Conrad Zwicky ', ' Stefan Zwicky ']",2013-01-10,Orgel-und-Klavier,['Classic'],Zürich
['Big Freedia & The Divas '],2013-01-10,Big-Freedia-&-The-Divas,"['Hip', 'Hop', ""R'n'B""]",Zürich
"[' Mathias Weibel ', ' Monika Baer ', ' Susanna Hefti ', ' Renate Steinmann ']",2013-01-10,Beethoven-im-Kaffeehaus,['Classic'],Zürich
"[' Antje Thierbach ', ' Karin Dornbusch ', ' Helena Winkelman ', ' Christoph Dangel ']",2013-01-10,S.O.S.-Seele-oder-Selbst,['Classic'],Basel
"[' Ingrid Lukas ', ' Céline-Giulia Voser ', ' Michel Gsell ', ' Patrik Zosso ']",2013-01-10,Winterthur,"['Ingrid', 'Lukas']",Theater-am-Gleis
"[' Simon Wirsch ', ' Beat Baumli ', ' Richard Pechota ', ' Peter Preibisch ']",2013-01-10,Rainbow-Colors,"['Jazz', 'Blues', 'Soul']",Kloten
"[' Michael Arbenz ', ' Thomas Lähns ', ' Florian Arbenz ']",2013-01-10,Winterthur,['Vein'],Esse-Musicbar
"['Feres Hot Strings ', ' Jasmin Scheidegger ', ' Fere Scheidegger ', ' Rainer Hagmann ', ' Peter Horisberger ', ' Felix Haller ', ' Thomas Dürst ']",2013-01-10,Feres-Hot-Strings,"['world', 'music']",Bern
"['Mark Berube & The Patriotic Few ', ' Mark Berube ', ' Kristina Koropecki ', ' Amélie Mandeville ', ' Tonio Morin-Vargas ']",2013-01-10,Mark-Berube-&-The-Patriotic-Few,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Zürich
"[' Michael Zisman ', ' Daniel Zisman ', ' Theodoros Kapilidis ', ' Richard Pizzorno ', ' Wini Holzenkamp ']",2013-01-10,Nuevo-Tango,"['world', 'music']",Liebefeld
['Maria Doyle Kennedy & Kieran Kennedy '],2013-01-10,Basel,"['Maria', 'Doyle', 'Kennedy', '']",Parterre-One
"['Jersie Julie & Band ', ' Jeff Zima ', ' Jersey Julie ', ' Olivier Mas ', ' Stephane Blanc ']",2013-01-10,Jersie-Julie-&-Band,"['Jazz', 'Blues', 'Soul']",Baden
"[' Omri Ziegele ', ' Isa Wiss ', ' Jürg Wickihalder ', ' Nick Gutersohn ', ' Gabriela Friedli ', ' Yves Reichmuth ', ' Jan Schlegel ', ' Herbert Kramis ', ' Marco Käppeli ', ' Dieter Ulrich ']",2013-01-10,Urban-Kicks-&-Inner-Landscapes,"['Jazz', 'Blues', 'Soul']",Zürich
"[' Florian Truebsbach ', ' Jan Eschke ', ' Andy Kurz ', ' Charly Antolini ']",2013-01-10,Charly-Antolini,"['Jazz', 'Blues', 'Soul']",Basel
['The Luck '],2013-01-10,The-Luck,['Pop'],Zürich
"[' Linah Rocio ', ' Ueli Heiniger ', ' Christof Jaussi ']",2013-01-10,Linah-Rocio,['Pop'],Zürich
['Helga Varadi '],2013-01-11,Orgelspiel-zum-Feierabend,['Classic'],Basel
"[' Yuta Takase ', ' Eszter Major ', ' Chin-Ting Huang ', ' Sarah Weilenmann ']",2013-01-11,Benefiz-Konzert-für-die-Stadtmission,['Classic'],Zürich
['Hans Christoph Begemann '],2013-01-11,5.-Tonhallekonzert,['Classic'],null
[' Emanuel Ax '],2013-01-11,Konzert,['Classic'],Zürich
"[' Christoph Prégardien ', ' Olivier Darbellay ']",2013-01-11,Nachtgedanken,['Classic'],Bern
"[' Grégoire Vuilleumier alias Greis ', ' Elisabeth Meyer ', ' Jakob Pilgram ']",2013-01-11,Baroque-Meets-Rap,['Classic'],Luzern
"[' Daniel Buess ', ' Beat Müller ', ' Pascal Viglino ', ' Margrit Rieben ']",2013-01-11,Drummer's-Delight,"['Jazz', 'Blues', 'Soul']",Bern
['Margaret Leng Tan '],2013-01-11,Art-Film-Music,['Classic'],Basel
"[' Rea Claudia Kost ', ' Simone Keller ']",2013-01-11,Der-Tod-und-das-Mädchen,['Classic'],Zürich
"[' Mathias Weibel ', ' Monika Baer ', ' Susanna Hefti ', ' Renate Steinmann ']",2013-01-11,Beethoven-im-Kaffeehaus,['Classic'],Zürich
"[' Rubio de Pruna ', ' Teresa Ríos ', ' Javier Heredia ', ' Paco de Amparo ', ' Ignacio de Amparo ']",2013-01-11,Puro-y-vivo,"['world', 'music']",null
"[' Christian Buck ', ' Christian Wolfarth ']",2013-01-11,Konzert,['Classic'],Zürich
[' Giulia del Re '],2013-01-11,Afterhours,"['Jazz', 'Blues', 'Soul']",Basel
['Jim Boyd '],2013-01-11,Jim-Boyd,"['world', 'music']",null
"[' David Helbock ', ' Raphael Preuschl ', ' Herbert Pirker ']",2013-01-11,David-Helbock-Trio,"['Jazz', 'Blues', 'Soul']",Basel
"[' We Set the Sun ', ' Stefan Jaun ', ' Manuel Buser ', ' Micha Krähenbühl ', ' Miguel Müller ']",2013-01-11,Scream-Your-Name,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Zürich
[' Danilo Moccia '],2013-01-11,Uptown-Big-Band-feat.-Danilo-Moccia,"['Jazz', 'Blues', 'Soul']",Liebefeld
['Maria Doyle Kennedy & Kieran Kennedy '],2013-01-11,Basel,"['Maria', 'Doyle', 'Kennedy', '']",Parterre-One
"[' Tom Bodenmann ', ' Ruth Wäger ', ' Christophe Huguenin ', ' Dominique Dieth ']",2013-01-11,Moon-Rise,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Baden
['Benedetto Lupo '],2013-01-11,Concerti-Dell'auditorio-2013,['Classic'],Lugano
"[' Andreas Schaerer ', ' Lucas Niggli ']",2013-01-11,Stimm-Drum,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Uster
"[' Colin Vallon ', ' Patrice Moret ', ' Julian Sartorius ']",2013-01-11,Thun,"['Colin', 'Vallon', 'Trio']",Mokka
['Mark Berube '],2013-01-11,Mark-Berube,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Bern
"[' Heinz Gasser ', ' Adrian Balmer ', ' Florian Widmer ', ' Johann Novell ', ' Peter Trachsel ', ' Cäsar Zurbriggen ', ' Benjamin Reinhart ']",2013-01-11,Quatre-in-Toulouse,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Bern
"['Petra Vogel ', ' Alain Veltin ', ' Emanuel Schnyder ', ' Lisette Spinnler ', ' Michi Stulz ', ' Gina Günthard ']",2013-01-12,Ladybirds-Jazz-live-Aarau,"['Jazz', 'Blues', 'Soul']",Aarau
['Jim Boyd '],2013-01-12,Jim-Boyd,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Winterthur
"[' Elisabeth Flechl ', ' Mathias Hausmann ']",2013-01-12,Galakonzert-zum-Neujahr,['Classic'],Luzern
['Silvia Harnisch '],2013-01-12,Klavierrezital,['Classic'],Winterthur
[' Emmanuel Pahud '],2013-01-12,Migros-Kulturproduzent-Classics,['Classic'],Basel
['Lisa de la Salle '],2013-01-12,Konzert,['Classic'],Zürich
['Hans-Jürgen Studer '],2013-01-12,Französische-Romantik,['Classic'],Zürich
"[' Pierre Favre ', ' Lucas Niggli ', ' Colin Vallon ', ' Patrice Moret ', ' Julian Sartorius ', ' Nik Bärtsch ']",2013-01-12,Kriens,"['Nik', ""Bärtsch's"", 'Ronin']",Südpol
"['Margit Beukman ', ' Tillmann Reinbeck ', ' Sara Jovanovic ']",2013-01-12,Neujahrskonzert-Isle-of-Songs,['Classic'],Basel
"[' Andreas Schärer ', ' Bänz Oester ']",2013-01-12,Schärer-Oester,"['Jazz', 'Blues', 'Soul']",Willisau
"['Egidius Streiff ', ' Kirill Zwegintsow ']",2013-01-12,Solo-Herren-Abend,['Classic'],Basel
"[' Simon Berz ', ' Moose Jackson ', ' Rob Cambre ', ' Justin Peake ', ' Aurora Nealand ']",2013-01-12,Liquid-Land,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Zug
['Minas Morgul '],2013-01-12,Headbangers'-Ball,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Bern
"['Hanspeter Krüsi ', ' Tatjana Nikic ']",2013-01-12,Farbmusik-Musik-zu-Farben,"['Jazz', 'Blues', 'Soul']",null
"['Flamencos de Morón ', ' Rubio de Pruna ', ' Teresa Ríos ', ' Javier Heredia ', ' Paco de Amparo ', ' Ignacio de Amparo ']",2013-01-12,Flamencos-de-Morón,"['world', 'music']",Zürich
"[' David Helbock ', ' Raphael Preuschl ', ' Herbert Pirker ']",2013-01-12,David-Helbock-Trio,"['Jazz', 'Blues', 'Soul']",Basel
"[' Jakob Hug ', ' Floriano Inacio Junior ', ' Herbie Kopf ', ' Tonico da Silva ']",2013-01-12,Mistura-Fina,"['Jazz', 'Blues', 'Soul']",Solothurn
['Uristier '],2013-01-12,Uristier,['Pop'],Thun
"['Loco Slickers ', ' Frequency Jones ', ' Dan Agent ', ' Micro Jackson ']",2013-01-12,Loco-Slickers,['Electronic'],Mels
['Chica Torpedo '],2013-01-12,Rubigen,"['Chica', 'Torpedo']",Mühle-Hunziken
['RhythmTalk '],2013-01-12,RhythmTalk,"['world', 'music']",Aarburg
['I Got You On Tape '],2013-01-12,I-Got-You-On-Tape,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Zürich
"[' Tom Linder ', ' Fabian Keist ', ' Claudio Burri ', ' Armando Bucher ']",2013-01-12,Empty-Fridge,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Reussbühl
"[' Stefan Eberhard ', ' Reto Langenegger ', ' Alwin Büchler ', ' Dani Eberhard ']",2013-01-12,Bright,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Zürich
[' live: Roy de Roy '],2013-01-12,Aarau,"['Roy', 'de', 'roy']",KiFF
['Boys Noize '],2013-01-12,Boys-Noize,['Electronic'],Lausanne
['Big Freedia '],2013-01-12,Norient-Musikfilm-Festival,"['Hip', 'Hop', ""R'n'B""]",Bern
[' conductor: Willi Zimmermann '],2013-01-13,ZKO-im-Kunsthaus-Giacometti,['Classic'],Zürich
"['Sabine Poyé Morel ', ' Esther Pitschen ', ' Haika Lübcke ', ' Janek Rosset ']",2013-01-13,Original-und-Bearbeitung,['Classic'],Zürich
"[' Simon Berz ', ' Moose Jackson ', ' Rob Cambre ', ' Justin Peake ', ' Aurora Nealand ']",2013-01-13,Liquid-Land,"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']",Zug
"['Tilmann Zahn ', ' Markus Forrer ', ' Stefan Schramm ', ' Hannes Bärtschi ', ' Samuele Sciancalepore ', ' Christian Sutter ']",2013-01-13,Schwarz-auf-Weiss-Voll-Schrecken-wartet-man-auf-die-Musik,['Classic'],Basel
"[' Sarah Wegener ', ' Barbara Erni ', ' Michael Feyfar ', ' Dominik Wörner ']",2013-01-13,Konzert,['Classic'],Zürich
"[' Meret Roth ', ' Aline Burla ', ' Cristina Janet ', ' Jonas Zürcher ']",2013-01-13,Podium-Junge-MusikerInnen,['Classic'],null
['Oliver Schnyder '],2013-01-13,Klavierabend,['Classic'],Baden
"['Alp Bora Quartett ', ' Alp Bora ', ' Julia Pichler ', ' Raimund Seidl ', ' Soner Tezcan ']",2013-01-13,Alp-Bora-Quartett,"['world', 'music']",Zürich
"[' Heinz Sauer ', ' Michael Wollny ']",2013-01-13,Heinz-Sauer-&-Michael-Wollny,"['Jazz', 'Blues', 'Soul']",Basel
['Ron Pope '],2013-01-13,Ron-Pope,['Pop'],Zürich
"[' Felix Gubser ', ' Arlette Meier ', ' Emanuel Rütsche ']",2013-01-13,Orchester-Schlusskonzert,['Classic'],Zürich
"['Liquid Land ', ' Simon Berz ', ' Moose Jackson ', ' Rob Cambre ', ' Justin Peake ', ' Aurora Nealand ']",2013-01-13,Liquid-Land,['Electronic'],Zürich
['Daniel Kahn & The Painted Bird meet the Brothers Nazaroff '],2013-01-13,Daniel-Kahn-&-The-Painted-Bird-meet-the-Brothers-Nazaroff,"['world', 'music']",Zürich
[' Emmanuel Pahud '],2013-01-14,Migros-Kulturprozent-Classics-2,['Classic'],null
['Daniil Trifonov '],2013-01-14,Konzert,['Classic'],Zürich
"['Anne Sofie von Otter ', ' Simon Crawford-Phillips ']",2013-01-14,Liederabend,['Classic'],Basel
[' Sonoko Ogowa '],2013-01-14,Masterkonzert,['Classic'],Basel
"[' Pino Buoro ', ' Ernst Waespe ', ' Nina Rechsteiner ']",2013-01-14,Corretto,"['Jazz', 'Blues', 'Soul']",Flawil
"['Wiktor Kociuban ', ' Friedemann A. Treiber ', ' Aleksander Gabry ']",2013-01-14,Solo-Herren-Abend,['Classic'],Basel
['Richard Walters '],2013-01-14,Richard-Walters,['Pop'],Winterthur
"[' Bernhard Bamert ', ' Christian Niederer ', ' Thomas Lüthi ']",2013-01-14,Baden,['Tré'],Restaurant-Isebähnli
