,place,src,address,location,canton,event,date,artists,genre,coordinates
5200,None,EventsCh,None,Paleo,GA,Nyon,2013-07-28,"['Patrick Bruel', 'Raphael', 'Rokia Traoré', 'Michael Gregorio', 'Shantel & Bucovina Club Orkestar', 'Boulevard Des Airs', 'Barcella', 'Mai Lan', 'Deba', 'Mounawar', 'Menwar']",r&b and soul,"(43.2256401, -8.3525459)"
5300,None,EventsCh,None,Zürich,ZH,Zürich,2013-08-04,['Slayer'],rock,"(47.387316, 8.499864)"
5400,None,EventsCh,None,Basel,BS,Altstadt-Serenaden,2013-08-14,"['Maren Böll', 'Peter Dahm', 'Jan Grüter']",orchestral,"(47.5595986, 7.5885761)"
5500,None,EventsCh,None,None,None,Music-for-a-While,2013-08-18,"['Beatrice Voellmy', 'Alexander Seidel']",orchestral,"(46.6377269, 9.279877)"
5600,None,EventsCh,None,None,None,Gemelli-Diversi,2013-08-24,['Gemelli Diversi'],pop,"(46.6377269, 9.279877)"
5700,None,EventsCh,None,Nesslau-Krummenau,SG,Renaissancekonzert,2013-08-31,['Alexander Seidel'],orchestral,"(47.22978, 9.19435)"
5800,None,EventsCh,None,Lucerne,LU,Lucerne-Festival,2013-09-06,['Carolin Widmann'],orchestral,"(47.0501682, 8.3093072)"
5900,None,EventsCh,None,Lucerne,LU,Lucerne-Festival,2013-09-09,"['Yeree Suh', 'Attila Fekete']",orchestral,"(47.0501682, 8.3093072)"
6000,None,EventsCh,None,Lausanne,VD,Orphan-Fairytale,2013-09-13,"['Orphan Fairytale', 'Indias Indois']",country,"(46.5196535, 6.6322734)"
6100,None,EventsCh,None,Zürich,ZH,Schoolly-D,2013-09-17,"['Schoolly D', 'Doodlebug', 'DJs Haitian Star']",electronic,"(47.3768866, 8.541694)"
6200,None,EventsCh,None,Basel,BS,Tropical-Night-around-Africa,2013-09-20,['DJ Deivi'],,"(47.5595986, 7.5885761)"
6300,None,EventsCh,None,Winterthur,ZH,Kammermusikakademie-2013,2013-09-24,"['Fabio Di Càsola', 'Giorgio Mandolesi']",orchestral,"(47.4988196, 8.7236889)"
6400,None,EventsCh,None,Thônex,GE,Asaf-Avidan,2013-09-27,['Asaf Avidan'],rock,"(46.1928374, 6.202767)"
6500,None,EventsCh,None,Zürich,ZH,Rainald-Grebe,2013-10-01,['Rainald Grebe'],,"(47.3768866, 8.541694)"
6600,None,EventsCh,None,Zürich,ZH,Ich-gönne-dir-diese-Musik-nicht,2013-10-04,"['Simone Keller', 'Rea Claudia Kost', 'Niklaus Kost']",orchestral,"(47.3768866, 8.541694)"
6700,None,EventsCh,None,Zürich,ZH,Sepulchral-Doom-Over-Switzerland,2013-10-07,"['Necros Christos', 'Grave Miasma']",rock,"(47.3768866, 8.541694)"
