	['son']
Fetish Solo	None
Fides Auf der Maur	None
Filippo Morace	None
Flamencos de Morón	None
Flavio Rohner	None
Flavio Spirgi	None
Fler	['rap']
Florian Arbenz	None
Florian Egli	None
Florian Favre	None
Florian Favre Trio	None
Florian Grupp	None
Florian Keller	None
Florian Möbes	None
Florian Truebsbach	None
Florian Widmer	None
Floriano Inacio Junior	None
Foreign Beggars	['dubstep', 'grime', 'rai', 'brostep']
Francis Petter	None
Franco Casagrande	None
Frank Sanderell	None
Frank Turner And The Sleeping Souls	None
Franz Hellmüller	None
Franziska Hatz	None
Françoise Rivalland	None
Fred Bürki	None
Fred Tackett	['rock', 'americana', 'blues', 'mambo']
Freddy Benitez	None
Frederik Köster	None
Frequency Jones	None
Fridolin Blumer	None
Friedemann A. Treiber	None
Friedemann Treiber	None
Fritz Hauser	['classical']
Frédéric Petitprez	None
Fulvia Mancini	None
Furio Zanasi	None
Félix Rossy	None
G. Calvin Weston	None
Gabe Ford	['rock']
Gabriel Adorjan	None
Gabriel Meyer	None
Gabriela Friedli	None
Gabriela Tanner	None
Gabriella Colecchia	None
Ganesh Geymeier	None
Gavlyn	None
Gaël Zwahlen	None
Gaëtan Lagrange	None
Geneviève Strosser	None
Georg Hofmann	None
Gerry Hemingway	None
Gert Schimak	None
Get Well Soon	None
Giancarlo Prossimo	None
Gianluca Giger	None
Gianmaria Testa	['rock', 'chanson']
Giantree	None
Gina Günthard	None
Gitte Deubelbeiss	None
Giulia del Re	None
Gregor Loepfe	None
Gregory Porter	['soul', 'gospel', 'blues', 'funk', 'classic', 'house']
Greis	None
Grégoire Vuilleumier alias Greis	None
Gudrun Petruschka	None
Gwilym Simcock	['classical']
Haika Lübcke	None
Hakim Boukhit	None
Hannes Bärtschi	None
Hannes Bürgi	None
Hans Adolfsen	None
Hans Christoph Begemann	None
Hans Feigenwinter	None
Hans Hassler	['baroque', 'classical']
Hans Joerg Fink	None
Hans Krauer	None
Hans-Jürgen Studer	None
Hanspeter Krüsi	None
Hansruedi Gattiker	None
Hansueli Oesch	None
Harald Haerter	None
Hardy Appich	None
Harry Lenherr	None
Haut & Courte	None
Hayden Chisholm	['experimental', 'classical']
Heather Roche	None
Heidi-Maria Makkonen	None
Heiner Grieder	None
Heinz Gasser	None
Heinz Geisser	None
Heinz Holliger	['opera', 'classical']
Heinz Sauer	None
Heiri Kaenzig	None
Heiri Känzig	None
Helen Iten	None
Helena Winkelman	None
Helga Varadi	None
Hells Belles	None
Helmut Deutsch	['world', 'opera', 'classical']
Herb Bucher	None
Herbert Kramis	None
Herbert Pirker	None
Herbie Kopf	None
Herman Peter	None
Herman Van Veen	['cabaret']
Herman van Veen	['cabaret']
Hermann Bühler	None
Hermann Oswald	['opera']
Hidden Orchestra	['world', 'reggae', 'idm', 'dub', 'electronica']
Hieronymus Schädler	None
Hille Perl	['baroque']
Hiram Mutschler	None
His Clancyness	['rock', 'krautrock', 'pop', 'noise']
Honig	None
Hp Brack	None
Hurricane Dean	['tropical', 'world', 'minimal', 'latin']
Huss & Hodn	None
Hämi Hämmerli	None
Hütte	None
I Got You On Tape	['rock']
Ignacio de Amparo	None
Igor Morosow	None
Iiro Rantala	['world', 'classical', 'tango']
In Strict Confidence	['electro']
Ingrid Lukas	None
Isa Wiss	None
Isabel Heusser	None
Iva Denes	None
Ivan Hrdina	None
Ivan Kubias	None
Ivan Monighetti	None
Ivo Pogorelich	['folk', 'classical', 'romantic']
JJ & Palin	None
JJ Flück	None
Jakob Hug	None
Jakob Pilgram	None
James Bailey	['classical']
James Blood Ulmer	['rock', 'blues', 'house', 'world']
James Gilchrist	None
Jan Eschke	None
Jan Geiger	None
Jan Schlegel	None
Jan Schreiner	None
Janek Rosset	None
Janine Cathrein	None
Jasmin Scheidegger	None
Javier Heredia	None
Jayce Lewis	['rock', 'asian', 'son', 'world', 'pop', 'unknown']
Jean Pierre Magnet y Serenata de los Andes	None
Jean-Daniel Girod	None
Jean-François Lessard	None
Jean-Sélim Abdelmoula	None
Jeannine Hirzel	None
Jeff Hirshfield	None
Jeff Zima	None
Jennifer Kay Aynilian	None
Jens Loh	None
Jens Peter Maintz	None
Jens-Peter Maintz	None
Jeremias Keller	None
Jersey Julie	None
Jersie Julie & Band	None
Jessica Rona	None
Jim Boyd	None
Joachim Enders	None
Joe Schwach	None
Joel Marosi	None
Joel Reiff	None
Johann Novell	None
Johannes Schleiermacher	None
Johannes Zahlten	None
John Marshall	['metal']
John Voirol	None
Jonas Iten	None
Jonas Labhart	None
Jonas Ruther	None
Jonas Winterhalter	None
Jonas Zürcher	None
Jonathan Peek	None
Jooce Garret	None
Joseph Bowie	['punk', 'bounce', 'rock', 'funk', 'blues']
Josquin Rosset	None
José Carreras	['opera']
Joy Denalane	['folk', 'reggae', 'soul', 'pop', 'african']
Juan Pablo Herrera	None
Judith Goldbach	None
Juilliard String Quartet	['classical']
Julia Keller	None
Julia Pichler	None
Julian Joseph	None
Julian Pieber	None
Julian Sartorius	None
Justin Peake	None
Justin Vali Trio	None
Jérémie Bochet	None
Jürg Bucher	None
Jürg Dähler	None
Jürg Lietha	None
Jürg Luchsinger	None
Jürg Metzger	None
Jürg Ramspeck	None
Jürg Wickihalder	None
Jürg Zurmühle	None
Jürgen Bothner	None
Jürgen Waidele & Friends feat. Elysa Kay	None
KJ Christy Doran	None
Kaisa	None
Kalli Gerhards	None
Kammerorchester der Philharmonie Novosibirsk	None
Kara Sylla Ka	None
Karel Boeschoten	None
Karin Dornbusch	None
Karin Meier	None
Karl Raas	None
Karma to Burn	['rock', 'metal']
Kaspar von Grünigen	None
Kendrick Lamar	['rock', 'hardcore', 'freestyle', 'electronica', 'rap', 'house', 'funk', 'world', 'soul']
Kenneth Henderson	['rock', 'house']
Kenny Gradney	['rock', 'folk', 'blues', 'funk', 'mambo']
Kersantti Kankkunen	None
Kevin Buri	None
Kevin Chesham	None
Khatia Buniatishvili	['country', 'classical']
Khin Hong Yip	None
Kim Roloff	None
Kirill Zwegintsow	None
Klara Lundén	None
Klaus-Peter Riemer	None
Kofelgschroa	None
Koller	None
Kristina Koropecki	None
Kristóf Zámbó	None
Krystian Zimerman	['opera', 'classical', 'romantic']
L. Pfister	None
Lars Lindvall	None
Laszlo Polus	None
Laura Schuler	['world', 'blues']
Laura Wiesmann	None
Leila Josefowicz	['classical', 'romantic', 'unknown']
