Bergstation Corviglia, 7500 St. Moritz	(46.5077074, 9.818981599999999)
Berikon	(47.352, 8.37021)
Bern	(46.9479739, 7.4474468)
Berneck	(47.4255058, 9.6135168)
Bernexpo	(46.9593379, 7.4670625)
Besancon	(47.237829, 6.024053899999999)
Biel	(47.1367785, 7.2467909)
Bienne	(47.1367785, 7.2467909)
Bierhübeli	(47.07217000000001, 7.36704)
Biglen	(46.9285176, 7.628449499999999)
Bignasco	(46.3382079, 8.6088572)
Binningen	(47.53786969999999, 7.570987799999998)
Binningerstr. 14 Basel	(47.5497474, 7.584347099999999)
Binningerstrasse 14	(47.5497407, 7.584336800000001)
Binningerstrasse 14, 4051, Basel	(47.5497474, 7.584347099999999)
Binningerstrasse 7, 4051 Basel	(47.5506103, 7.586531099999999)
Birkenstrasse 51, 6343 Risch-Rotkreuz	(47.1469934, 8.4347771)
Birmensdorf	(47.35367, 8.43714)
Birmenstorf	(47.4595188, 8.2498947)
Birr	(47.43635440000001, 8.2059141)
Birrhard	(47.432565, 8.244018800000001)
Birsfelden	(47.5516505, 7.627249900000001)
Bischofszell	(47.53231599999999, 9.2059617)
Blatterwiese	(47.3553078, 8.5516252)
Bleicherweg 5, 8001 Zürich	(47.3685907, 8.5380251)
Bleu-Lezard	(46.5200835, 6.6377201)
Blumenbergplatz, 9004, St.Gallen	(47.4267233, 9.3737443)
Bogen-F	(47.3847659, 8.5207009)
Bolligen	(46.97562070000001, 7.497145799999998)
Bolligenstrasse 79a, Bern	(46.9614306, 7.475315399999999)
Bollwerk 41	(46.95164949999999, 7.441732600000001)
Bollwerk 41, 3011, Bern	(46.95164949999999, 7.441732600000001)
Boncourt	(47.4960637, 7.0157468)
Bondo	(-0.1003371, 34.2754988)
Bonn 2, 3186, Düdingen	(46.8615737, 7.180177800000001)
Bonstetten	(47.31516, 8.4680573)
Bossard-Arena	(47.1768132, 8.507613800000001)
Boswil	(47.3008078, 8.3128941)
Bottmingen	(47.5233885, 7.5723451)
Boulevard Helvétique 10, 1206, Genève	(46.19779219999999, 6.150439899999999)
Boulevard de Pérolles 91, Fribourg	(46.7947773, 7.1568081)
Boulogne Sur Mer	(50.725231, 1.613334)
Bourg En Bresse	(46.20516749999999, 5.2255007)
Br?tten	(-27.74264, 25.34971)
Breiteli 22, 6472 Erstfeld	(46.8341992, 8.6407127)
Brienz	(46.7541541, 8.0316899)
Brig	(46.3158992, 7.987820800000001)
Brislach	(47.41885000000001, 7.5427693)
Brontallo	(46.354415, 8.628432)
Brugg	(47.48673549999999, 8.2109103)
Bruggerstrasse 37, 5400 Baden	(47.4757816, 8.304247199999999)
Brunnadern	(47.3364927, 9.130484299999999)
Brunnen	(46.94687039999999, 7.380520499999999)
Brüglingerstr. 19-21, 4052 Basel	(47.5398991, 7.618258299999999)
Brütten	(47.4730927, 8.6778198)
Bubendorf	(47.44891459999999, 7.736072099999999)
Bubikon	(47.2682174, 8.8191356)
Buchberg	(47.5732503, 8.5627138)
Buchs	(47.1655403, 9.4708594)
Bulle	(46.6154512, 7.057726799999999)
Buochs	(46.9735985, 8.420352)
Burgdorf	(47.0559357, 7.627224300000001)
Burghof-Lörrach	(47.610869, 7.6592029)
Burgweg 7, 4058 Basel	(47.5581365, 7.601180299999999)
Bärengasse 22, 8001 Zürich	(47.36967, 8.5364155)
Bäretswil	(47.3378619, 8.852861899999999)
Bönigstrasse 17, 3800 Matten bei Interlaken	(46.683967, 7.8711616)
Bülach	(47.5160671, 8.5419603)
Büren-an-der-Aare	(47.1395743, 7.374796799999999)
CC de Meyrin, Avenue de Feuillasse 24, 1217 Meyrin	(46.231973, 6.082154999999999)
Café-Kairo	(46.9587195, 7.4463311)
Cargo-Bar	(47.564134, 7.584368899999999)
Carouge	(46.1829674, 6.1378539)
Carrefour de l’Etoile 1, 1227, Carouge	(46.1868527, 6.128197999999999)
Casino-Herisau	(47.384637, 9.277892999999999)
Casinotheater	(47.4997419, 8.7266185)
Centre-de-Congrès-le-Régent	(46.3052853, 7.462124499999999)
Cevio	(46.3177065, 8.6023079)
Ch.-du-Stand-5	(46.5195837, 6.6688375)
Ch?teau-d'Oex	(46.4715174, 7.126011399999999)
Cham	(47.181225, 8.4592089)
Chambery	(45.564601, 5.917781)
Chamerstrasse 173 - 6301 Zug	(47.1813251, 8.4839299)
Chamonix Mont Blanc	(45.923697, 6.869433)
Chatelaine Le Lignon Geneve	(46.21008490000001, 6.117770999999999)
Chemin Jacques Philibert de Sauvage 37, 1219, Châtelaine	(46.2144847, 6.1041477)
Chemin de la Gravière 11, 1227, Acacias	(46.1972292, 6.130459)
Chemin de la Gravière 9, 1227 Genève	(46.1974065, 6.1300653)
Chemin des Batailles 22, 1214 Vernier	(46.221047, 6.0867306)
Chemin des Batailles, 1214 VERNIER (GENEVE), Suisse	(46.220598, 6.0872486)
Chemin du Stand 5, Pully, 1009	(46.5195837, 6.6688375)
Chemin du Viaduc, 1008 Prilly	(46.5281564, 6.6015636)
Chene Bougeries	(46.1983939, 6.1851258)
Chiasso	(45.8366999, 9.0246111)
Chollerhalle	(47.1815489, 8.4838699)
Christoffelunterführung 2 CH- 3011 Bern	(46.9479614, 7.440116799999999)
Chur	(46.8507835, 9.5319859)
Château-d'Oex	(46.4715174, 7.126011399999999)
Châtelaine, Chemin de l'Etang 55, 1219 Châtelaine	(46.2170383, 6.1036923)
Chêne-Bourg	(46.19735, 6.19731)
Citykirche-Offener-St.-Jakob	(47.3739631, 8.528997799999999)
Col du Pillon, Route du Pillon 253	(46.354066, 7.205471999999999)
Collonge Bellerive	(46.2514024, 6.2022904)
Confignon	(46.1740305, 6.0835592)
Crans-Montana	(46.3425654, 7.4984389)
Crissier	(46.55186870000001, 6.5743458)
Cry-d'Er	(46.3347069, 7.478685199999998)
Cully	(46.4895985, 6.7290888)
Cully-Jazz-Festival	(46.4884491, 6.730717200000001)
Côtes-de-Montbenon 16, 1003 Lausanne	(46.52115, 6.627349799999999)
D!-Club	(46.5209878, 6.6311174)
D?bendorf	(50.4267625, 7.571062799999999)
D?dingen	(53.9563254, 9.1282388)
D?rnten	(52.5346819, 5.7218086)
Dampfzentrale	(46.9407562, 7.444201199999999)
