	[]
Frances	['indie anthem-folk', 'pop']
Franziska Bruecker	[]
Franziska Brücker	[]
Françoise Matile	[]
Frauenarzt	['deep german hip hop', 'german hip hop']
Frauke Tometten Molino	[]
Fred Bürki	[]
Fridolin Blumer	[]
Frits Landesbergen	[]
Gabriel Dalvit	[]
Gabriel Walter	[]
Gabriela Friedli	[]
Ganesh Geymeier	[]
Gauthier Toux	[]
Geert Dedapper	[]
Gemelli Diversi	['italian arena pop', 'italian hip hop', 'italian pop']
Gen Wüst	[]
Gerilja	['vegan straight edge']
Get Well Soon	['german indie', 'german pop']
Gianna Nannini	['italian arena pop', 'italian pop']
Gianni Pontillo	[]
Gil Reis	[]
Gilberto Gil	['bossa nova', 'forro', 'mpb', 'pagode', 'samba', 'world christmas']
Gilles Apap	['violin']
Giora Feidman	['klezmer']
Giorgia Milanesi	[]
Giorgio Mandolesi	[]
Glenn Ferris	['jazz brass']
Gletscher Fezzer	[]
Go Go Berlin	['danish pop']
Goldfrapp	['alternative dance', 'big beat', 'dance pop', 'electroclash', 'electronic', 'indie christmas', 'indietronica', 'new rave', 'new wave pop', 'pop christmas', 'pop rock', 'synthpop', 'trip hop']
Goran Kovacevic	[]
Grave Miasma	['black death', 'voidgaze']
Great Black Waters	[]
Grégoire Maret	[]
Gérard Wyss	[]
Haemi Haemmerli	[]
Haika Lübcke	[]
Hannes Fankhauser	[]
Hannes Giger	[]
Hans Agreda	[]
Hans-Peter Pfammatter	[]
Hassan Shakur	[]
Heart In Hand	['deep melodic metalcore']
Heartical Sound	[]
Heidrun Wirth-Metzler	[]
Heinrich Mätzener	[]
Heinz Holliger	['choral', 'classical', 'classical flute', 'classical performance', 'harpsichord', 'orchestral']
Helena Rüegg	[]
Helga Varadi	[]
Helmut Kagerer	[]
Hendrix Ackle	[]
Hooverphonic	['downtempo', 'electronic', 'nu jazz', 'trip hop']
Idan Raichel	['israeli rock', 'mizrahi']
Igor Morosow	[]
Ildikó Sajgó	[]
Indias Indois	[]
Indira Koch	[]
Ingvo Clauder	[]
Inka Kuchler	[]
Irene Klein	[]
Irene Schindele	[]
Irie Révoltés	['deep german pop rock', 'french reggae', 'german hip hop', 'reggae fusion']
Irina Georgieva	[]
Isa Kurz	[]
Isaac Duarte	[]
Isaiah Thompson	[]
Ivan Mihajlovic	[]
Jacques Widmer	[]
Jamie Lidell	['funk', 'soul']
Jan Grüter	[]
Jane Achtman	[]
Jared Silverstein	[]
Jaribu Shahid	[]
Jasmina Matijevic	[]
Jay Messerli	[]
Jeanne Roth	[]
Jedediah Allen	[]
Jenny Chi	[]
Jenny Högström	[]
Jo-El Sonnier & T. Graham Brown & Band	[]
JoachimGarraud	[]
Jochen Rueckert	[]
Joe Jackson	['album rock', 'art rock', 'classic rock', 'dance rock', 'folk', 'folk rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'power pop', 'pub rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'synthpop']
Joel Allison	[]
Joel Reiff	[]
Johannes Gutfleisch	[]
John Garcia	['psychedelic doom', 'retro metal', 'stoner metal', 'stoner rock']
John Medeski	[]
John Michael Bradford	[]
John Scofield	['bebop', 'blues-rock', 'contemporary jazz', 'contemporary post-bop', 'cool jazz', 'gypsy jazz', 'jazz', 'jazz blues', 'jazz christmas', 'jazz funk', 'jazz fusion', 'modern blues', 'soul jazz']
John Scofield & Medesky-Martin-Wood	[]
Jojo Kunz	[]
Jon Cowherd	[]
Jonas Brügger	[]
Jonas Gross	[]
Jonas Labhart	[]
Jonas Ruther	[]
Jonas Tschanz	[]
Jonathan Sells	[]
Jorge Leysan Demestre	[]
Jorge Rossy	[]
Jorge-Luís Gonzalez	[]
Josiane Kneuss	[]
Jugendchor Hamrahilö	[]
Julia Bauer	[]
Julia Marion	[]
Julian Sartorius	[]
Junko Takayama	[]
Justin Peake	[]
Jürg Dähler	[]
Jürg Gasser	[]
Jürg Käser	[]
Jürg Maag	[]
Jürg Ramspeck	[]
Kalle Kalima	[]
Kanna	[]
Kate Macoboy	[]
Katharina Busch	[]
Katharina Kühne	[]
Katharina Weissenbacher	[]
Kathrin Hartmann	[]
Katia Braunschweiler	[]
Katia Labèque	[]
Katja Fuchs	[]
Katryn Hasler	[]
Keith Sterling Brewer Band	[]
Kendrick Scott	['contemporary jazz']
Kenneth Dahl Knudsen	[]
Kensington	['dutch pop', 'dutch rock']
Kery James	['francoton', 'french hip hop', 'french pop', 'french reggae', 'trap francais']
King Gizzard & The Lizard Wizard	['alt-indie rock', 'australian alternative rock', 'deep australian indie', 'freak folk', 'garage rock', 'neo-psychedelic']
Klaus Dickbauer	[]
Klaus-Dieter Brandt	[]
Kornelia Bruggman	[]
Kristian Bezuidenhout	['classical performance']
Kurt Schlup	[]
Kvelertak	['black thrash', 'norwegian indie', 'norwegian metal', 'norwegian rock', 'sludge metal', 'stoner metal', 'stoner rock']
Laia Masramon	[]
Lander Gyselinck	[]
Lars Carl Schmid	[]
Lawrence Leathers	[]
Leonardo Salazar	[]
Les Soeurs Boulay	['quebecois']
Leticia Kahraman	[]
Letzte Instanz	['medieval rock', 'neue deutsche harte']
Levin Deger	[]
Lianne La Havas	['deep indie r&b', 'indie r&b', 'neo mellow', 'neo soul', 'soul']
Lilly Martin	[]
Lionel Friedli	[]
Little Lion Sound & Agent N	[]
Lizandro Paredes	[]
Lluis Ribalta	[]
Loco Escrito	[]
London Grammar	['indie r&b', 'indietronica', 'metropopolis', 'neo mellow', 'pop', 'shimmer pop', 'tropical house']
Lorenz Beyeler	[]
Lorenzo Tucci	[]
Los Banditos	['surf music']
Louis Laury	[]
Luca Curcio	[]
Luca Leombruni	[]
Lucien Dubuis	[]
Luigi Archetti	[]
Luis Cruz	[]
Luk Kipfer	[]
Luk Schulthess	[]
Lukas Fässler	[]
Lukas Mantel	[]
Lukas Schlumpf	[]
Lukas Wiese	[]
Luke Winslow King	['alternative country', 'country blues', 'deep new americana', 'michigan indie', 'modern blues', 'new americana', 'piedmont blues']
Luzius Schuler	[]
Mace Mitchell	[]
Madeleine Lienhard	[]
Magatte N'diaye	[]
Mai Lan	[]
