,location,event,date,artists,genre,coordinates
1227,Bulle,FRANCOMANIAS,2014-05-28,[BEN L'ONCLE SOUL],,"(46.6154512, 7.057726799999999)"
1228,Bulle,FRANCOMANIAS,2014-05-29,[GAETAN ROUSSEL],,"(46.6154512, 7.057726799999999)"
1229,Bulle,FRANCOMANIAS,2014-05-30,[PLAZA FRANCIA (CATHERINE RINGER / MULLER & MAKAROFF )],,"(46.6154512, 7.057726799999999)"
1230,Bulle,FRANCOMANIAS,2014-05-31,[KEZIAH JONES],,"(46.6154512, 7.057726799999999)"
1231,Pully,PULLY A L'HEURE DU QUEBEC,2014-06-05,[SUROIT],,"(46.5092681, 6.6654949)"
1232,Pully,PULLY A L'HEURE DU QUEBEC,2014-06-06,"[DIANE TELL, LES COWBOYS FRINGANTS]",,"(46.5092681, 6.6654949)"
1233,Pully,PULLY A L'HEURE DU QUEBEC,2014-06-07,"[KARIM OUELLET, LES COWBOYS FRINGANTS]",,"(46.5092681, 6.6654949)"
1234,Pully,PULLY A L'HEURE DU QUEBEC,2014-06-08,"[CLAUD MICHAUD, ANDRE PHILIPPE GAGNON]",,"(46.5092681, 6.6654949)"
1235,Pully,PULLY A L'HEURE DU QUEBEC,2014-06-09,"[ROBERT CHARLEBOIS, ANTHONY KAVANAGH]",,"(46.5092681, 6.6654949)"
1236,Pully,PULLY A L'HEURE DU QUEBEC,2014-06-10,"[RICHARD DESJARDINS, LES TROIS ACCORDS]",,"(46.5092681, 6.6654949)"
1237,Pully,PULLY A L'HEURE DU QUEBEC,2014-06-11,"[ISABELLE BOULAY, ALEXANDRE POULIN]",,"(46.5092681, 6.6654949)"
1238,Pully,PULLY A L'HEURE DU QUEBEC,2014-06-12,"[FLORENT VOLLANT, ROCH VOISINE]",,"(46.5092681, 6.6654949)"
1239,Pully,PULLY A L'HEURE DU QUEBEC,2014-06-13,"[ISABELLE BOULAY, LYNDA LEMAY]",,"(46.5092681, 6.6654949)"
1240,Neuchatel,FESTI NEUCH,2014-06-14,[THE ROOTS],,"(46.9899874, 6.9292732)"
1241,Neuchatel,FESTI NEUCH,2014-06-15,[BASTIAN BAKER],,"(46.9899874, 6.9292732)"
1242,Payerne,RED PIGS FESTIVAL,2014-06-19,[GERALD DE PALMAS],,"(46.8220266, 6.9405663)"
1243,Payerne,RED PIGS FESTIVAL,2014-06-20,[JUNIOR TSHAKA],,"(46.8220266, 6.9405663)"
1244,Payerne,RED PIGS FESTIVAL,2014-06-21,[KYASMA],,"(46.8220266, 6.9405663)"
1245,Cully,LAVAUX CLASSIQUE,2014-06-22,"[JOACHIM CARR, LES PASSIONS DE L'AME]",,"(46.4895985, 6.7290888)"
1246,Cully,LAVAUX CLASSIQUE,2014-06-24,[BORIS BEREZOVSKY],,"(46.4895985, 6.7290888)"
1247,Cully,LAVAUX CLASSIQUE,2014-06-25,[NICHOLAS ANGELICH],,"(46.4895985, 6.7290888)"
1248,Cully,LAVAUX CLASSIQUE,2014-06-26,"[MARIO BRUNELLO, CAMILLE THOMAS]",,"(46.4895985, 6.7290888)"
1249,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2014-06-27,[MOP MOP (INSTRUMENTAL COMBO)],,"(46.29413110000001, 7.533536199999999)"
1250,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2014-06-28,[SYNAPSON],,"(46.29413110000001, 7.533536199999999)"
