,location,event,date,artists
141,Geneve,MUSIQUES EN ETE,2007-07-18,[FANGA]
142,Montreux,MONTREUX JAZZ FESTIVAL,2007-07-19,"[THE B 52's, PAOLO NUTINI]"
143,Geneve,MUSIQUES EN ETE,2007-07-20,[ABAJI]
144,Montreux,MONTREUX JAZZ FESTIVAL,2007-07-21,"[JIMMY CLIFF, LAURENT GARNIER]"
145,Bern,GURTEN FESTIVAL BERN,2007-07-22,[JOSS STONE]
146,Geneve,MUSIQUES EN ETE,2007-07-23,[AL FOSTER]
147,Nyon,PALEO FESTIVAL,2007-07-24,[SOLARTONES]
148,Nyon,PALEO FESTIVAL,2007-07-25,[KRUGER]
149,Alterswil,STONE HILL,2007-07-26,[ROY AND THE DEVIL MOTORCYCLE]
150,Alterswil,STONE HILL,2007-07-27,[T-RAUMSCHMIERE]
151,Alterswil,STONE HILL,2007-07-28,[TRIGGERFINGER]
152,Nyon,PALEO FESTIVAL,2007-07-29,[GOGOL BORDELLO]
153,Geneve,MUSIQUES EN ETE,2007-07-30,[RICHARD GALLIANO]
154,Geneve,MUSIQUES EN ETE,2007-08-01,[AMSTERDAM KLEZMER BAND (AKB)]
155,Geneve,VILLAGE TROPICAL,2007-08-02,[JOSE ALBERTO EL CANARIO]
156,Porrentruy,ROCK AIR PORRENTRUY,2007-08-03,[UNCOMMONMENFROMMARS]
157,Geneve,VILLAGE TROPICAL,2007-08-04,[RODRY GO]
158,Geneve,VILLAGE TROPICAL,2007-08-05,[BATAMBO]
159,Geneve,VILLAGE TROPICAL,2007-08-06,[MARACA / ORLANDO MARACA VALLE]
160,Geneve,VILLAGE TROPICAL,2007-08-07,[REVISTA DO SAMBA]
161,Geneve,VILLAGE TROPICAL,2007-08-08,[SONORA UNIVERSAL]
162,Geneve,VILLAGE TROPICAL,2007-08-09,[SERGENT GARCIA]
163,Geneve,VILLAGE TROPICAL,2007-08-10,[EL CONJUNTO MASSALIA]
164,Geneve,VILLAGE TROPICAL,2007-08-11,[RUMBA STEREO]
165,Geneve,VILLAGE TROPICAL,2007-08-12,[LA TREMENDA SONORA]
166,Geneve,MUSIQUES EN ETE,2007-08-15,[LA FANFARA LUI CRACIUN]
167,Gampel,OPEN AIR DE GAMPEL,2007-08-16,[IN EXTREMO]
168,Gampel,OPEN AIR DE GAMPEL,2007-08-17,[THE ANSWER]
169,Gampel,OPEN AIR DE GAMPEL,2007-08-18,[WILLIAM WHITE]
170,Gampel,OPEN AIR DE GAMPEL,2007-08-19,[GOCOO]
171,Geneve,MUSIQUES EN ETE,2007-08-22,[JONAS ET LE TAXI BROUSSE ORCHESTRA]
172,Geneve,FESTIVAL DE LA BATIE,2007-09-01,"[DA SILVA, JA GERN]"
173,Geneve,FESTIVAL DE LA BATIE,2007-09-02,[JONAS ET LE TAXI BROUSSE ORCHESTRA]
174,Geneve,FESTIVAL DE LA BATIE,2007-09-03,[FRITZ HAUSER]
175,Geneve,FESTIVAL DE LA BATIE,2007-09-04,[NOSFELL]
176,Geneve,FESTIVAL DE LA BATIE,2007-09-05,"[POLAR, ALEX ATTIAS]"
177,Geneve,FESTIVAL DE LA BATIE,2007-09-06,"[AKUFEN aka MARC LECLAIR, FANFARE DU LOUP ORCHESTRA (LE CRI DU SON)]"
178,Geneve,FESTIVAL DE LA BATIE,2007-09-07,"[SCOTT MONTEITH, VINCENT LEMIEUX]"
179,Geneve,FESTIVAL DE LA BATIE,2007-09-08,"[TAYLOR SAVVY, MANDRAX]"
180,Chatelaine Le Lignon Geneve,FESTIVAL DE LA BATIE,2007-09-09,[POLAR]
181,Zurich,CHANSONS EN STOK,2007-09-11,[THIERRY ROMANENS]
182,Geneve,FESTIVAL DE LA BATIE,2007-09-12,[SOPHIE HUNGER]
183,Geneve,FESTIVAL DE LA BATIE,2007-09-13,[KALABRESE AND THE RUMPELORCHESTRA]
184,Geneve,FESTIVAL DE LA BATIE,2007-09-14,"[LIM GIONG, MATTAFIX]"
185,Geneve,FESTIVAL DE LA BATIE,2007-09-15,[ZEBRA (Antoine)]
186,Zurich,CHANSONS EN STOK,2007-09-16,[JEHAN]
187,Boncourt,FETE DU BISON & WEEK END COUNTRY,2007-09-21,[BIG ROCK]
188,Boncourt,FETE DU BISON & WEEK END COUNTRY,2007-09-22,[MARIE DAZZLER]
189,Delemont,NOTES D'EQUINOXE,2007-09-23,[A FILETTA]
190,Villeurbanne,ZIKEMO,2007-10-12,[GESCH ET LES OTAKUS]
191,Villeurbanne,ZIKEMO,2007-10-13,[LES SARDINES EPANOUIES]
192,Geneve,JAZZCONTREBAND,2007-10-14,[SWING SESSION]
193,Thonon Les Bains,JAZZCONTREBAND,2007-10-16,[ETIENNE MBAPPE]
194,Onex,JAZZCONTREBAND,2007-10-18,[CHRISTOPH STIEFEL]
195,Vevey,ROCK N ORGE,2007-10-19,[THE PASSENGERS]
196,Vevey,ROCK N ORGE,2007-10-20,[AVALON 1]
197,Geneve,JAZZCONTREBAND,2007-10-23,[IN TRANSIT]
198,Thonon Les Bains,JAZZCONTREBAND,2007-10-24,[GARY BURTON]
199,Geneve,JAZZCONTREBAND,2007-10-25,[IN TRANSIT]
200,Geneve,JAZZCONTREBAND,2007-10-26,[EDWARD PERRAUD]
201,Saint Claude,JAZZCONTREBAND,2007-10-27,[FRANCOIS GALLIX]
202,Lausanne,JAZZ ONZE +,2007-10-28,[STEPHANE CHAPUIS]
203,Le Lignon,VERNIER SUR ROCK,2007-11-01,[MASS HYSTERIA]
204,Le Lignon,VERNIER SUR ROCK,2007-11-02,[INNA CRISIS]
205,Le Lignon,VERNIER SUR ROCK,2007-11-03,[LA FOUINE]
206,Duedingen,FR KATZ FESTIVAL,2007-12-06,[FOOD FOR ANIMALS]
207,Duedingen,FR KATZ FESTIVAL,2007-12-07,[FREAKS]
208,Duedingen,FR KATZ FESTIVAL,2007-12-08,[DJ FETT]
