,location,event,date,artists
620,Zurich,CHANSONS EN STOK,2010-09-21,[YETI]
621,Zurich,CHANSONS EN STOK,2010-09-22,[THIBAUT DERIEN]
622,Zurich,CHANSONS EN STOK,2010-09-23,[ZEDRUS]
623,Delemont,NOTES D'EQUINOXE,2010-09-24,[VALLA & SCURATI]
624,Delemont,NOTES D'EQUINOXE,2010-09-25,"[ENSEMBLE BADAKHSHAN, TANGO SENSATIONS, ERIK MARCHAND, DEHAI LIU, SIVAN PERWER]"
625,Delemont,NOTES D'EQUINOXE,2010-09-26,"[DEHAI LIU, ERIK MARCHAND, ENSEMBLE BADAKHSHAN, DIVNA LJUBOJEVIC]"
626,Onex,JAZZCONTREBAND,2010-10-08,[MALCOLM BRAFF]
627,Saint Claude,JAZZCONTREBAND,2010-10-09,[LES PASSAGES SECRETS]
628,Thonon Les Bains,JAZZCONTREBAND,2010-10-13,[MIKE STERN]
629,Villeurbanne,ZIKEMO,2010-10-14,[DIPLOE]
630,Villeurbanne,ZIKEMO,2010-10-15,[AS DE TREFLE]
631,Vevey,ROCK N ORGE,2010-10-16,[EL BIANCHI]
632,Geneve,JAZZCONTREBAND,2010-10-17,[LUNATIC TOYS]
633,Sallanches,JAZZCONTREBAND,2010-10-20,[CHICK COREA]
634,Annemasse,JAZZCONTREBAND,2010-10-21,[ALAIN DELLA MAESTRA]
635,Geneve,JAZZCONTREBAND,2010-10-22,[GUILLAUME PERRET AND THE ELECTRIC EPIC]
636,Yverdon Les Bains,JAZZCONTREBAND,2010-10-23,[LUNATIC TOYS]
637,Geneve,JAZZCONTREBAND,2010-10-24,[CRAIG TABORN]
638,Lausanne,JAZZ ONZE +,2010-11-03,[MCCOY TYNER]
639,Lausanne,JAZZ ONZE +,2010-11-04,"[340ML, MARC PERRENOUD]"
640,Monthey,TRANSVOISINES,2010-11-05,[TAFTA]
641,Lyon,TRANSVOISINES,2010-11-06,[N'RELAX]
642,Lausanne,JAZZ ONZE +,2010-11-07,[TRIO SPHERE]
643,Chambery,TRANSVOISINES,2010-11-09,[ANNA AARON]
644,Vevey,HEARTLAND,2010-11-10,[ERIC CHENAUX]
645,Lausanne,METROPOP FESTIVAL,2010-11-11,"[DJERMEN, JUSTIN NOZUKA]"
646,Bourg En Bresse,TRANSVOISINES,2010-11-12,[SARRO]
647,Yverdon Les Bains,TRANSVOISINES,2010-11-13,[ANNA AARON]
648,Lausanne,METROPOP FESTIVAL,2010-11-14,[PIANO CLUB]
649,Geneve,TAMBOUR BATTANT FESTIVAL,2010-11-25,[NANA CISSOKHO]
650,Geneve,TAMBOUR BATTANT FESTIVAL,2010-11-26,[AFEL BOCOUM]
651,Geneve,TAMBOUR BATTANT FESTIVAL,2010-11-27,[LE BALLET WON TAN NARA]
652,Lausanne,LES URBAINES,2010-12-03,"[GERRITT WITTMER, VON SPAR]"
653,Lausanne,LES URBAINES,2010-12-04,"[FLOATING POINTS, DON VITO, VOLCANO THE BEAR]"
654,Renens,LES URBAINES,2010-12-05,[OTTAVEN]
655,Geneve,PRESENCES ELECTRONIQUES A GENEVE,2010-12-10,"[CHRISTIAN ZANESI, DRAGOS TARA]"
656,Geneve,PRESENCES ELECTRONIQUES A GENEVE,2010-12-11,"[GEIR JENSSEN / BIOSPHERE, CHATON]"
657,Carouge,ANTIGEL,2011-02-07,[MARK KOZELEK]
658,Geneve,ANTIGEL,2011-02-08,"[KMA, THE VIENNA VEGETABLE ORCHESTRA]"
659,Carouge,ANTIGEL,2011-02-09,"[CHAPI CHAPO (Popopolska / La Petite Fabrique de Jouets), KEN BUTLER]"
660,Geneve,ANTIGEL,2011-02-10,[BEAK >]
661,Plan les Ouates,ANTIGEL,2011-02-11,[ERIK TRUFFAZ]
662,Grand Lancy,ANTIGEL,2011-02-12,[REBETEKE]
663,Geneve,ANTIGEL,2011-02-13,[SAMUEL ARNAUD]
664,Onex,ANTIGEL,2011-02-15,[OVAL]
665,Meyrin,ANTIGEL,2011-02-16,[THOMAS KONER]
666,Grand Lancy,ANTIGEL,2011-02-17,"[EZRA ""BIONIC ORCHESTRA 2.0""]"
667,Geneve,LES TRAVERSES MUSICALES,2011-02-18,[JULIAN PERRETTA]
668,Geneve,LES TRAVERSES MUSICALES,2011-02-19,[BRACHOI]
669,Vernier,ANTIGEL,2011-02-20,[ORCHESTRE DE LA HAUTE ECOLE DE MUSIQUE ET DU CONSERVATOIRE DE GENEVE]
670,Lausanne,INFERNO,2011-02-25,[ENSLAVED]
671,Lausanne,INFERNO,2011-02-26,[WATAIN]
672,Lausanne,INFERNO,2011-02-27,[THE SECRET]
673,Petit Lancy,BOTOX,2011-04-01,[TENSION BRUTALE]
674,Meyrin,BOTOX,2011-04-02,[SYNENSIS]
675,Lausanne,KNOCKOUT,2011-04-09,[TIM EXILE]
676,Lausanne,ZATELLIG,2011-04-13,[LE LARRON]
677,Lausanne,ZATELLIG,2011-04-14,[BRAINLESS]
678,Bale (Basel),BLUES FESTIVAL BASEL (BALE),2011-04-15,[JIMMY JOHNSON]
679,Bale (Basel),BLUES FESTIVAL BASEL (BALE),2011-04-16,[TOMMY CASTRO]
680,Geneve,ELECTRON,2011-04-21,"[NITZER EBB, YAN!, FLORENT MATHON, LOEFAH, NIKOLAS NEECKE]"
681,Lausanne,IMPETUS FESTIVAL SUISSE,2011-04-22,"[NADJA, MASTER MUSICIANS OF BUKKAKE (MMOB)]"
682,Lausanne,IMPETUS FESTIVAL SUISSE,2011-04-23,"[EXTRA LIFE, CORONER]"
683,Lausanne,IMPETUS FESTIVAL SUISSE,2011-04-24,[EARTH]
684,Geneve,JOURS DE MAI,2011-04-29,[SERGENT PAPOU]
685,Geneve,JOURS DE MAI,2011-04-30,[GRETA GRATOS]
686,Geneve,JOURS DE MAI,2011-05-01,[K-TRIEME DIMENSION]
687,Bale (Basel),JAZZFESTIVAL BASEL,2011-05-02,[COLIN VALLON]
688,Bale (Basel),JAZZFESTIVAL BASEL,2011-05-03,[FRANCOIS COUTURIER]
689,Bale (Basel),JAZZFESTIVAL BASEL,2011-05-04,[BOBO STENSON]
690,Bale (Basel),JAZZFESTIVAL BASEL,2011-05-05,[TOBIAS PREISIG]
691,Thonex,LES RENCONTRES MUSICALES A THONEX,2011-05-06,[ALTAM]
692,Thonex,LES RENCONTRES MUSICALES A THONEX,2011-05-07,[SIGNS OF MISFORTUNE]
693,Bale (Basel),JAZZFESTIVAL BASEL,2011-05-08,[RENAUD GARCIA FONS]
694,Bale (Basel),JAZZFESTIVAL BASEL,2011-05-09,[RAUL MIDON]
695,Bale (Basel),JAZZFESTIVAL BASEL,2011-05-10,"[MICHELE RABBIA, INCOGNITO]"
696,Vernier,VERNIER SUR ROCK,2011-05-12,[THE BABYTRACKS]
697,Vernier,VERNIER SUR ROCK,2011-05-13,[DUB INC]
698,Vernier,VERNIER SUR ROCK,2011-05-14,[YODELICE]
699,Lausanne,FESTIVAL DE GUITARE A LAUSANNE,2011-05-15,[MARCELO DE LA PUEBLA]
700,Bale (Basel),JAZZFESTIVAL BASEL,2011-05-16,[MATTHIEU MICHEL]
701,Geneve,MAPPING FESTIVAL,2011-05-20,"[DJ DIE, JUNCTION SM, 35PLIS]"
702,Geneve,MAPPING FESTIVAL,2011-05-21,"[GUDRUN GUT, SIMIAN MOBILE DISCO, ZAN LYONS]"
703,Lausanne,FESTIVAL DE GUITARE A LAUSANNE,2011-05-22,[DIMITRI ILLARIONOV]
704,Vevey,ANIMAI,2011-05-25,[PINOCCHIO LES AVENTURES D'UN PANTIN REBELLE]
705,Pratteln,METALFEST,2011-05-26,[DESTRUCTION]
706,Pratteln,METALFEST,2011-05-27,[ARCH ENEMY]
707,Pratteln,METALFEST,2011-05-28,[EQUILIBRIUM]
708,Pratteln,METALFEST,2011-05-29,[MERCENARY]
709,Neuchatel,FESTI NEUCH,2011-06-02,[AYO]
710,Aarberg,STARS OF SOUNDS,2011-06-03,[DIE FANTASTISCHEN VIER]
711,Aarberg,STARS OF SOUNDS,2011-06-04,[STATUS QUO]
712,Neuchatel,FESTI NEUCH,2011-06-05,[GROUNDATION]
713,Pully,FESTIVAL'ENTRE2,2011-06-08,[GAETAN]
714,Montreux,MOTION OPENAIR,2011-06-09,[MARTIN SOLVEIG]
715,Montreux,MOTION OPENAIR,2011-06-10,[HEADHUNTERZ]
716,Montreux,MOTION OPENAIR,2011-06-11,[DJ OTHELLO]
717,Montreux,MOTION OPENAIR,2011-06-12,[BOY GEORGE]
718,Sursee,SUMMER SOUND SUISSE,2011-06-16,[THIRTY SECONDS TO MARS]
719,Sierre,SISMICS FESTIVAL,2011-06-17,[THE HILLBILLY MOON EXPLOSION]
720,Sierre,SISMICS FESTIVAL,2011-06-18,[SOUND OF FRIDGE]
721,Cully,LAVAUX CLASSIQUE,2011-06-20,"[CEDRIC TIBERGHIEN, HENRI DEMARQUETTE]"
722,Cully,LAVAUX CLASSIQUE,2011-06-21,"[CEDRIC TIBERGHIEN, HENRI DEMARQUETTE, PLAMENA MANGOVA]"
723,Sursee,SUMMER SOUND SUISSE,2011-06-22,[JAMES BLUNT]
724,Sursee,SUMMER SOUND SUISSE,2011-06-23,[ANASTACIA]
725,Sursee,SUMMER SOUND SUISSE,2011-06-24,[BOB DYLAN]
726,Sursee,SUMMER SOUND SUISSE,2011-06-25,[ZZ TOP]
727,Cully,LAVAUX CLASSIQUE,2011-06-26,"[QUINTETTE TRI I DVE, FABRIZIO CHIOVETTA]"
728,Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2011-06-28,"[BAUCHKLANG, PROFESSOR WOUASSA, PUBLICIST]"
729,Saint Gallen,OPEN AIR DE SAINT GALLEN,2011-06-30,[CULCHA CANDELA]
730,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2011-07-01,[KID KOALA]
731,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2011-07-02,[MOTOR CITY DRUM ENSEMBLE]
732,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2011-07-03,[OY]
733,Montreux,MONTREUX JAZZ FESTIVAL,2011-07-04,"[ROBERT RANDOLPH & THE FAMILY BAND, THE PRETTY RECKLESS]"
734,Montreux,MONTREUX JAZZ FESTIVAL,2011-07-05,"[GEORGE BENSON, JAMES BLAKE]"
735,Geneve,MUSIQUES EN ETE,2011-07-06,[TUMI (TUMI AND THE VOLUME)]
736,Montreux,MONTREUX JAZZ FESTIVAL,2011-07-07,"[PAOLO NUTINI, RICHARD BONA]"
737,Geneve,MUSIQUES EN ETE,2011-07-08,[IMPERIAL TIGER ORCHESTRA]
738,Locarno,MOON AND STARS,2011-07-09,[STING]
739,Locarno,MOON AND STARS,2011-07-10,[SANTANA]
740,Geneve,MUSIQUES EN ETE,2011-07-11,[CHARLES LLOYD]
741,Geneve,MUSIQUES EN ETE,2011-07-12,[OPERA DE CHAMBRE DE GENEVE]
742,Geneve,MUSIQUES EN ETE,2011-07-13,[RAOUL DESOUZA]
743,Locarno,MOON AND STARS,2011-07-14,[ROXETTE]
744,Geneve,MUSIQUES EN ETE,2011-07-15,[LOS GUASONEROS DE GUANTANAMO]
745,Locarno,MOON AND STARS,2011-07-16,[BRYAN ADAMS]
746,Locarno,MOON AND STARS,2011-07-17,[JACK JOHNSON]
747,Zurich,LIVE AT SUNSET,2011-07-18,[HANNES WADER]
748,Nyon,PALEO FESTIVAL,2011-07-19,[THE NATIONAL]
749,Nyon,PALEO FESTIVAL,2011-07-20,[THE CHEMICAL BROTHERS]
750,Nyon,PALEO FESTIVAL,2011-07-21,[THE STROKES]
751,Nyon,PALEO FESTIVAL,2011-07-22,[STROMAE]
752,Nyon,PALEO FESTIVAL,2011-07-23,[ROBERT PLANT & THE BAND OF JOY]
753,Puplinge,PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,2011-07-24,[FRANCOIS XAVIER POIZAT]
754,Geneve,JAZZ ESTIVAL - MUSIQUE EN ETE,2011-07-25,[MICHEL HAUSSER]
755,Geneve,MUSIQUES EN ETE,2011-07-26,[PASCAL ROGE]
756,Geneve,MUSIQUES EN ETE,2011-07-27,[DAVY SICARD]
757,Geneve,MUSIQUES EN ETE,2011-07-28,[MICHEL DALBERTO]
758,Geneve,MUSIQUES EN ETE,2011-07-29,[KEREN ANN]
759,Lucerne,BLUE BALLS,2011-07-30,"[YODELICE, JAMIE LIDELL]"
760,Puplinge,PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,2011-07-31,[HUBERT RUTKOWSKY]
761,Geneve,MUSIQUES EN ETE,2011-08-02,[QUATUOR TERPSYCORDES]
762,Geneve,MUSIQUES EN ETE,2011-08-03,[BRUNO DUVAL]
763,Porrentruy,ROCK AIR PORRENTRUY,2011-08-04,[KIKI CRETIN]
764,Porrentruy,ROCK AIR PORRENTRUY,2011-08-05,[THE LOVE ME NOTS]
765,Porrentruy,ROCK AIR PORRENTRUY,2011-08-06,[SELAH SUE]
766,Porrentruy,ROCK AIR PORRENTRUY,2011-08-07,[ALENKO]
767,Yvoire,PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,2011-08-08,[MAURO LO CONTE]
768,Geneve,MUSIQUES EN ETE,2011-08-09,[BELCEA QUARTET]
769,Geneve,MUSIQUES EN ETE,2011-08-10,[LA ZIKABILO]
770,Le Locle,ROCK ALTITUDE,2011-08-11,[WILLIAM WHITE]
771,Le Locle,ROCK ALTITUDE,2011-08-12,[MESHUGGAH]
772,La Tour de Peilz,NOX ORAE,2011-08-13,[CRYSTAL STILTS]
773,Puplinge,PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,2011-08-14,[WENDY GHYSELS]
774,Geneve,MUSIQUES EN ETE,2011-08-16,[BERNARDA FINK]
775,Geneve,MUSIQUES EN ETE,2011-08-17,[BIBI TANGA]
776,Pully,PULLY FOR NOISE,2011-08-18,[ELBOW]
777,Pully,PULLY FOR NOISE,2011-08-19,[TRENTEMOLLER]
778,Pully,PULLY FOR NOISE,2011-08-20,[CROOKERS]
779,Puplinge,PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,2011-08-21,[SINE NOMINE]
780,Saint Prex,LUNA CLASSICS (EX SAINT PREX CLASSICS),2011-08-23,[GERSHWIN QUARTET]
781,Saint Prex,LUNA CLASSICS (EX SAINT PREX CLASSICS),2011-08-24,[GERSHWIN QUARTET]
782,Morges,LUNA CLASSICS (EX SAINT PREX CLASSICS),2011-08-25,[KROKE]
783,Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2011-08-27,"[AZIZ SAHMAOUI, SAMIR HODZIC, MALCOLM BRAFF, MALCOLM BRAFF]"
784,Saint Prex,LUNA CLASSICS (EX SAINT PREX CLASSICS),2011-08-28,[VLAD MAISTOROVICI]
785,Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2011-08-29,[THE CREOLE CHOIR OF CUBA]
786,Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2011-08-30,"[ERIK TRUFFAZ, THE CREOLE CHOIR OF CUBA]"
787,Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2011-08-31,"[ELINA DUNI, DHAFER YOUSSEF]"
788,Vevey,SEPTEMBRE MUSICAL,2011-09-02,[ORCHESTRE DU COLLEGE DE GENEVE]
789,Montreux,SEPTEMBRE MUSICAL,2011-09-03,[LARS VOGT]
790,Vevey,SEPTEMBRE MUSICAL,2011-09-04,[LEONIDAS KAVAKOS]
791,Geneve,FESTIVAL DE LA BATIE,2011-09-05,[MILES KANE]
792,Veytaux,SEPTEMBRE MUSICAL,2011-09-06,[QUATUOR BARBIROLLI]
793,Veytaux,SEPTEMBRE MUSICAL,2011-09-07,[MICHAIL LIFITS]
794,Lausanne,ELECTROSANNE,2011-09-08,"[MUNK, DAVID RODIGAN]"
795,Villars,VILLARS DE VIVRE,2011-09-09,"[BEATRICE BERRUT, FRANCOIS LINDEMANN, DONA FLOR]"
796,Villars,VILLARS DE VIVRE,2011-09-10,"[VERA TSYBAKOV, MICHEL LEEB, EDDIE BAYTOS]"
797,Villars,VILLARS DE VIVRE,2011-09-11,"[LES MANOUCHES TSE TSE, THIERRY LANG]"
798,Veytaux,SEPTEMBRE MUSICAL,2011-09-12,[MAXIMILIEN HORNUNG]
799,Montreux,SEPTEMBRE MUSICAL,2011-09-13,[ROYAL PHILARMONIC ORCHESTRA DE LONDRES]
800,Geneve,FESTIVAL DE LA BATIE,2011-09-14,"[JACK IS DEAD, RICHARD MAXWELL]"
801,Montreux,SEPTEMBRE MUSICAL,2011-09-15,[ROYAL PHILARMONIC ORCHESTRA DE LONDRES]
802,Montreux,SEPTEMBRE MUSICAL,2011-09-16,[JESUS LOPEZ COBOS]
803,Montreux,SEPTEMBRE MUSICAL,2011-09-17,[ROYAL PHILARMONIC ORCHESTRA DE LONDRES]
804,Montreux,SEPTEMBRE MUSICAL,2011-09-18,[ROYAL PHILARMONIC ORCHESTRA DE LONDRES]
805,Zurich,CHANSONS EN STOK,2011-09-21,[JULIE ET MOI]
806,Zurich,CHANSONS EN STOK,2011-09-22,[PASCAL RINALDI]
807,Boncourt,FETE DU BISON & WEEK END COUNTRY,2011-09-23,[CARROUSEL]
808,Boncourt,FETE DU BISON & WEEK END COUNTRY,2011-09-24,[MARIOTTI BROTHERS BAND]
809,Boncourt,FETE DU BISON & WEEK END COUNTRY,2011-09-25,[RIMROCK COUNTRY BAND]
810,Zurich,CHANSONS EN STOK,2011-09-26,[IAROSS]
811,Bale (Basel),SONIC,2011-10-01,[HEADHUNTERZ]
812,Villeurbanne,ZIKEMO,2011-10-06,[LES EMZEL CAFE]
813,Villeurbanne,ZIKEMO,2011-10-07,[PARIS COMBO]
814,Thonon Les Bains,JAZZCONTREBAND,2011-10-08,[AVISHAI COHEN (contrebasse)]
815,Vevey,ROCK N ORGE,2011-10-14,[CHARLOTTE PARFOIS / PEUT-ETRE]
816,Vevey,ROCK N ORGE,2011-10-15,[TODOS DESTINOS]
817,Zurich,TRUE AS STEEL,2011-10-22,[TANKARD]
818,Vevey,HEARTLAND,2011-10-26,[JUNIP (JOSE GONZALEZ)]
819,Vevey,HEARTLAND,2011-10-27,[DAVID PAJO]
820,Nyon,NYON'S ON FIRE,2011-10-28,[DESTINITY]
821,Nyon,NYON'S ON FIRE,2011-10-29,[SOLANGE LA FRANGE / LA PATRONNE]
822,Lausanne,JAZZ ONZE +,2011-11-02,[FRANCOIS LINDEMANN]
823,Lausanne,JAZZ ONZE +,2011-11-03,[COLIN VALLON]
824,Yverdon Les Bains,TRANSVOISINES,2011-11-04,[PEAU]
825,Monthey,TRANSVOISINES,2011-11-05,[TRANSGUNNER]
826,Lausanne,JAZZ ONZE +,2011-11-06,[HOLUNDERBLUETEN]
827,Lausanne,TRANSVOISINES,2011-11-08,[THE HILLBILLY MOON EXPLOSION]
828,Besancon,TRANSVOISINES,2011-11-09,[BONAPARTE]
829,Lausanne,METROPOP FESTIVAL,2011-11-10,[MORIARTY - WATI WATIA ZOREY BAND]
830,Lausanne,METROPOP FESTIVAL,2011-11-11,[RAGGASONIC]
831,Carouge,TRANSVOISINES,2011-11-12,[KADEBOSTANY]
832,Geneve,TAMBOUR BATTANT FESTIVAL,2011-11-24,[CONGRES DE GRIOTS A KANKAN]
833,Geneve,TAMBOUR BATTANT FESTIVAL,2011-11-25,[TOURE KUNDA]
834,Geneve,TAMBOUR BATTANT FESTIVAL,2011-11-26,[EMPREINTES MASSAI]
835,Lausanne,LES URBAINES,2011-12-02,[LIMONIOUS]
836,Lausanne,LES URBAINES,2011-12-03,[LA VAMPIRES]
837,Geneve,PRESENCES ELECTRONIQUES A GENEVE,2011-12-09,"[THOMAS FEHLMAN, BERNARD PARMEGIANI]"
838,Geneve,PRESENCES ELECTRONIQUES A GENEVE,2011-12-10,"[JIM O'ROURKE, NGOC LAN]"
839,Geneve,ANTIGEL,2012-01-30,[PETE DOHERTY]
840,Geneve,ANTIGEL,2012-02-01,[DANIEL DARC]
841,Carouge,ANTIGEL,2012-02-02,[JAMES VINCENT MC MORROW]
842,Le Lignon,ANTIGEL,2012-02-03,[Cie MARIE CHOUINARD]
843,Troinex,ANTIGEL,2012-02-06,[ROCIO MOLINA]
844,Geneve,ANTIGEL,2012-02-07,[CAT POWER]
845,Meinier,ANTIGEL,2012-02-08,[CW STONEKING]
846,Geneve,ANTIGEL,2012-02-09,[NADA SURF]
847,Les Acacias,ANTIGEL,2012-02-11,[THE DO]
848,Le Lignon,ANTIGEL,2012-02-12,[HANNI EL KHATIB]
849,Neuchatel,OTHERJAZZ FESTIVAL,2012-02-23,[HANS KOCH]
850,La Chaux de Fond,OTHERJAZZ FESTIVAL,2012-02-24,[HELENE BRESCHAND]
851,Saignelegier,OTHERJAZZ FESTIVAL,2012-02-25,[BERENGERE MAXIMIN]
852,La Chaux de Fond,OTHERJAZZ FESTIVAL,2012-02-26,[ANDY MILNE]
853,Lausanne,INFERNO,2012-03-09,[1349]
854,Lausanne,INFERNO,2012-03-10,"[GUILLAUME PERRET AND THE ELECTRIC EPIC, IMMORTAL]"
855,Lausanne,IMPETUS FESTIVAL SUISSE,2012-03-17,[ORANGE GOBLIN]
856,Bale (Basel),BLUES FESTIVAL BASEL (BALE),2012-03-28,[EDEN BRENT]
857,Lausanne,ZATELLIG,2012-03-29,[THE FAT BASTARD GANG BAND]
858,Bale (Basel),BLUES FESTIVAL BASEL (BALE),2012-03-30,[HENRIK FREISCHLADER]
859,Bale (Basel),BLUES FESTIVAL BASEL (BALE),2012-03-31,[JIMMY JOHNSON]
860,Geneve,ELECTRON,2012-04-05,"[KANGDING RAY, DJANGO DJANGO, DRUMATIK]"
861,Geneve,ELECTRON,2012-04-06,"[CHIEF, OPUSWERK, MIK IZIF, SCRATCH MASSIVE]"
862,Geneve,ELECTRON,2012-04-07,"[BRANDT BRAUER FRICK, RICO (OBF), TREVOR JACKSON, DJ VINCZ LEE, YANG TAO, CHRISTINE GROULT, SACRED SELECTIONS -MATT STOKES]"
863,Geneve,ELECTRON,2012-04-08,"[KONONO NÂ°1, DJ COBEIA]"
864,Bale (Basel),JAZZFESTIVAL BASEL,2012-04-19,[BRANFORD MARSALIS]
865,Bale (Basel),JAZZFESTIVAL BASEL,2012-04-20,[CHANO DOMINGUEZ]
866,Bale (Basel),JAZZFESTIVAL BASEL,2012-04-21,[MADELEINE PEYROUX]
867,Bale (Basel),JAZZFESTIVAL BASEL,2012-04-22,"[VEIN, CRISTINA BRANCO]"
868,Bale (Basel),JAZZFESTIVAL BASEL,2012-04-23,[LARS DANIELSSON]
869,Bale (Basel),JAZZFESTIVAL BASEL,2012-04-24,[ALEFA TRIO]
870,Bale (Basel),JAZZFESTIVAL BASEL,2012-04-25,[JOHN ABERCROMBIE]
871,Bale (Basel),JAZZFESTIVAL BASEL,2012-04-26,[ROBERTO GATTO]
872,Lausanne,IMPETUS FESTIVAL SUISSE,2012-04-27,"[NAPALM DEATH, FELDERMELDER]"
873,Bale (Basel),SONIC,2012-04-28,[BLACKMAIL]
874,Lausanne,IMPETUS FESTIVAL SUISSE,2012-04-29,[STEPHEN O'MALLEY]
875,Bale (Basel),JAZZFESTIVAL BASEL,2012-04-30,[GEORGE GRUNTZ]
876,Geneve,JOURS DE MAI,2012-05-01,[LA JONGLE DES JAVAS]
877,Bale (Basel),JAZZFESTIVAL BASEL,2012-05-02,[TRILOK GURTU]
878,Geneve,JOURS DE MAI,2012-05-03,[LE CERCLE]
879,Thonex,LES RENCONTRES MUSICALES A THONEX,2012-05-04,[SKA NERFS]
880,Thonex,LES RENCONTRES MUSICALES A THONEX,2012-05-05,[HUMANITY SOUND]
881,Bale (Basel),JAZZFESTIVAL BASEL,2012-05-06,[RICHARD GALLIANO]
882,Vernier,VERNIER SUR ROCK,2012-05-11,[THE ASTEROIDS GALAXY TOUR]
883,Vernier,VERNIER SUR ROCK,2012-05-12,[DANAKIL]
884,Bulle,FRANCOMANIAS,2012-05-15,[JULIETTE]
885,Bulle,FRANCOMANIAS,2012-05-16,[ZAZ]
886,Bulle,FRANCOMANIAS,2012-05-17,[COEUR DE PIRATE]
887,Bulle,FRANCOMANIAS,2012-05-18,[HUBERT FELIX THIEFAINE]
888,Carouge,LOKOS,2012-05-19,[ONE HOUR BEFORE BREAKFAST]
889,La Chaux du Milieu,CORBAK,2012-05-23,[LES AVENTURES DE ROSALIE LA PETITE SOURIS]
890,La Chaux du Milieu,CORBAK,2012-05-24,"[JANE BIRKIN, NICOLAS FRAISSINET]"
891,La Chaux du Milieu,CORBAK,2012-05-25,"[BAUCHKLANG, MNOZIL BRASS, JULIETTE]"
892,La Chaux du Milieu,CORBAK,2012-05-26,"[LES PETITS CHANTEURS A LA GUEULE DE BOIS, MIOSSEC, DEBOUT SUR LE ZINC]"
893,Crissier,BLUES RULES CRISSIER,2012-05-27,[ATATURK BAND]
894,Yverdon Les Bains,SONISPHERE SUISSE,2012-05-30,[METALLICA]
895,Neuchatel,FESTI NEUCH,2012-05-31,[MARILYN MANSON]
896,Pully,PULLY A L'HEURE DU QUEBEC,2012-06-01,[ISABELLE BOULAY]
897,Neuchatel,FESTI NEUCH,2012-06-02,[THOMAS FERSEN]
898,Pully,PULLY A L'HEURE DU QUEBEC,2012-06-03,[VERONIC DICAIRE]
899,Pully,PULLY A L'HEURE DU QUEBEC,2012-06-04,[FRED PELLERIN]
900,Pully,PULLY A L'HEURE DU QUEBEC,2012-06-05,[LES VULGAIRES MACHINS]
901,Sierre,SISMICS FESTIVAL,2012-06-06,[WHO'S NEXT]
902,Sierre,SISMICS FESTIVAL,2012-06-07,[MERCURY FALL (ALEX CAGLI)]
903,Sierre,SISMICS FESTIVAL,2012-06-08,[IMPERIAL TABASCO]
904,Pully,PULLY A L'HEURE DU QUEBEC,2012-06-09,[ROBERT CHARLEBOIS]
905,Pratteln,METALFEST,2012-06-10,[KREATOR]
906,Delle,PORRENTRUY-DELLE JAZZ FESTIVAL,2012-06-15,[CHERRY SWING]
907,Delle,PORRENTRUY-DELLE JAZZ FESTIVAL,2012-06-16,[CHERRY SWING]
908,Interlaken,GREENFIELD,2012-06-17,[BREAKDOWN OF SANITY]
909,Wohlen,TOUCH THE LAKE,2012-06-21,[PITBULL]
910,Wohlen,TOUCH THE LAKE,2012-06-22,[CYPRESS HILL]
911,Wohlen,TOUCH THE LAKE,2012-06-23,[WU TANG CLAN]
912,Cully,LAVAUX CLASSIQUE,2012-06-24,[GIOVANNI BELLUCCI]
913,Cully,LAVAUX CLASSIQUE,2012-06-26,[GERARD WYSS]
914,Geneve,L'AMR AUX CROPETTES,2012-06-27,[LINE PROJECT]
915,Saint Gallen,OPEN AIR DE SAINT GALLEN,2012-06-28,[DANKO JONES]
916,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2012-06-29,[TM JUKE]
917,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2012-06-30,[AWESOME TAPES FROM AFRICA]
918,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2012-07-01,[REMY KOLPA KOPOUL AKA PRINCESS JORGE (DJ RKK)]
919,Geneve,MUSIQUES EN ETE,2012-07-02,"[SEIJI OZAWA, TAKE 6]"
920,Montreux,MONTREUX JAZZ FESTIVAL,2012-07-03,"[KATIE MELUA, PACO DE LUCIA]"
921,Montreux,MONTREUX JAZZ FESTIVAL,2012-07-04,"[NOEL GALLAGHER'S HIGH FLYING BIRDS, LANA DEL REY]"
922,Sursee,SUMMER SOUND SUISSE,2012-07-05,[PETER MAFFAY]
923,Sursee,SUMMER SOUND SUISSE,2012-07-06,[MILOW]
924,Sursee,SUMMER SOUND SUISSE,2012-07-07,[BRYAN ADAMS]
925,Frauenfeld,OPENAIR FRAUENFELD,2012-07-08,[SEAN PAUL]
