,Unnamed: 0,location,event,date,artists,genre
91,14,Zürich,Urban-Kicks-&-Inner-Landscapes,2013-01-10,"[' Omri Ziegele ', ' Isa Wiss ', ' Jürg Wickihalder ', ' Nick Gutersohn ', ' Gabriela Friedli ', ' Yves Reichmuth ', ' Jan Schlegel ', ' Herbert Kramis ', ' Marco Käppeli ', ' Dieter Ulrich ']",
92,15,Basel,Charly-Antolini,2013-01-10,"[' Florian Truebsbach ', ' Jan Eschke ', ' Andy Kurz ', ' Charly Antolini ']",
93,16,Baden,Jersie-Julie-&-Band,2013-01-10,"['Jersie Julie & Band ', ' Jeff Zima ', ' Jersey Julie ', ' Olivier Mas ', ' Stephane Blanc ']",
94,17,Liebefeld,Nuevo-Tango,2013-01-10,"[' Michael Zisman ', ' Daniel Zisman ', ' Theodoros Kapilidis ', ' Richard Pizzorno ', ' Wini Holzenkamp ']",
95,18,Zürich,Mark-Berube-&-The-Patriotic-Few,2013-01-10,"['Mark Berube & The Patriotic Few ', ' Mark Berube ', ' Kristina Koropecki ', ' Amélie Mandeville ', ' Tonio Morin-Vargas ']",
96,19,Parterre-One,Basel,2013-01-10,['Maria Doyle Kennedy & Kieran Kennedy '],
97,20,Bern,Feres-Hot-Strings,2013-01-10,"['Feres Hot Strings ', ' Jasmin Scheidegger ', ' Fere Scheidegger ', ' Rainer Hagmann ', ' Peter Horisberger ', ' Felix Haller ', ' Thomas Dürst ']",
98,21,Zürich,The-Luck,2013-01-10,['The Luck '],Pop
99,22,Zürich,Linah-Rocio,2013-01-10,"[' Linah Rocio ', ' Ueli Heiniger ', ' Christof Jaussi ']",Pop
100,0,Basel,Orgelspiel-zum-Feierabend,2013-01-11,['Helga Varadi '],Classic
101,1,Zürich,Benefiz-Konzert-für-die-Stadtmission,2013-01-11,"[' Yuta Takase ', ' Eszter Major ', ' Chin-Ting Huang ', ' Sarah Weilenmann ']",Classic
102,2,Zürich,Konzert,2013-01-11,[' Emanuel Ax '],Classic
103,3,Bern,Nachtgedanken,2013-01-11,"[' Christoph Prégardien ', ' Olivier Darbellay ']",Classic
104,4,null,5.-Tonhallekonzert,2013-01-11,['Hans Christoph Begemann '],Classic
105,5,Luzern,Baroque-Meets-Rap,2013-01-11,"[' Grégoire Vuilleumier alias Greis ', ' Elisabeth Meyer ', ' Jakob Pilgram ']",Classic
106,6,Zürich,Beethoven-im-Kaffeehaus,2013-01-11,"[' Mathias Weibel ', ' Monika Baer ', ' Susanna Hefti ', ' Renate Steinmann ']",Classic
107,7,Zürich,Konzert,2013-01-11,"[' Christian Buck ', ' Christian Wolfarth ']",Classic
108,8,null,Jim-Boyd,2013-01-11,['Jim Boyd '],
109,9,Bern,Drummer's-Delight,2013-01-11,"[' Daniel Buess ', ' Beat Müller ', ' Pascal Viglino ', ' Margrit Rieben ']",
110,10,null,Puro-y-vivo,2013-01-11,"[' Rubio de Pruna ', ' Teresa Ríos ', ' Javier Heredia ', ' Paco de Amparo ', ' Ignacio de Amparo ']",
111,11,Zürich,Der-Tod-und-das-Mädchen,2013-01-11,"[' Rea Claudia Kost ', ' Simone Keller ']",Classic
112,12,Basel,Art-Film-Music,2013-01-11,['Margaret Leng Tan '],Classic
113,13,Basel,Afterhours,2013-01-11,[' Giulia del Re '],
114,14,Zürich,Scream-Your-Name,2013-01-11,"[' We Set the Sun ', ' Stefan Jaun ', ' Manuel Buser ', ' Micha Krähenbühl ', ' Miguel Müller ']",
115,15,Baden,Moon-Rise,2013-01-11,"[' Tom Bodenmann ', ' Ruth Wäger ', ' Christophe Huguenin ', ' Dominique Dieth ']",
116,16,Liebefeld,Uptown-Big-Band-feat.-Danilo-Moccia,2013-01-11,[' Danilo Moccia '],
117,17,Parterre-One,Basel,2013-01-11,['Maria Doyle Kennedy & Kieran Kennedy '],
118,18,Lugano,Concerti-Dell'auditorio-2013,2013-01-11,['Benedetto Lupo '],Classic
119,19,Uster,Stimm-Drum,2013-01-11,"[' Andreas Schaerer ', ' Lucas Niggli ']",
120,20,Basel,David-Helbock-Trio,2013-01-11,"[' David Helbock ', ' Raphael Preuschl ', ' Herbert Pirker ']",
121,21,Bern,Quatre-in-Toulouse,2013-01-11,"[' Heinz Gasser ', ' Adrian Balmer ', ' Florian Widmer ', ' Johann Novell ', ' Peter Trachsel ', ' Cäsar Zurbriggen ', ' Benjamin Reinhart ']",
122,22,Mokka,Thun,2013-01-11,"[' Colin Vallon ', ' Patrice Moret ', ' Julian Sartorius ']",
123,23,Bern,Mark-Berube,2013-01-11,['Mark Berube '],
124,0,Aarau,Ladybirds-Jazz-live-Aarau,2013-01-12,"['Petra Vogel ', ' Alain Veltin ', ' Emanuel Schnyder ', ' Lisette Spinnler ', ' Michi Stulz ', ' Gina Günthard ']",
125,1,Winterthur,Jim-Boyd,2013-01-12,['Jim Boyd '],
126,2,Luzern,Galakonzert-zum-Neujahr,2013-01-12,"[' Elisabeth Flechl ', ' Mathias Hausmann ']",Classic
127,3,Winterthur,Klavierrezital,2013-01-12,['Silvia Harnisch '],Classic
128,4,Zürich,Konzert,2013-01-12,['Lisa de la Salle '],Classic
129,5,Zürich,Französische-Romantik,2013-01-12,['Hans-Jürgen Studer '],Classic
130,6,Basel,Migros-Kulturproduzent-Classics,2013-01-12,[' Emmanuel Pahud '],Classic
131,7,Bern,Headbangers'-Ball,2013-01-12,['Minas Morgul '],
132,8,Basel,Solo-Herren-Abend,2013-01-12,"['Egidius Streiff ', ' Kirill Zwegintsow ']",Classic
133,9,Südpol,Kriens,2013-01-12,"[' Pierre Favre ', ' Lucas Niggli ', ' Colin Vallon ', ' Patrice Moret ', ' Julian Sartorius ', ' Nik Bärtsch ']",
134,10,Zug,Liquid-Land,2013-01-12,"[' Simon Berz ', ' Moose Jackson ', ' Rob Cambre ', ' Justin Peake ', ' Aurora Nealand ']",
135,11,Willisau,Schärer-Oester,2013-01-12,"[' Andreas Schärer ', ' Bänz Oester ']",
136,12,Basel,Neujahrskonzert-Isle-of-Songs,2013-01-12,"['Margit Beukman ', ' Tillmann Reinbeck ', ' Sara Jovanovic ']",Classic
137,13,null,Farbmusik-Musik-zu-Farben,2013-01-12,"['Hanspeter Krüsi ', ' Tatjana Nikic ']",
138,14,Solothurn,Mistura-Fina,2013-01-12,"[' Jakob Hug ', ' Floriano Inacio Junior ', ' Herbie Kopf ', ' Tonico da Silva ']",
139,15,Zürich,Flamencos-de-Morón,2013-01-12,"['Flamencos de Morón ', ' Rubio de Pruna ', ' Teresa Ríos ', ' Javier Heredia ', ' Paco de Amparo ', ' Ignacio de Amparo ']",
140,16,Basel,David-Helbock-Trio,2013-01-12,"[' David Helbock ', ' Raphael Preuschl ', ' Herbert Pirker ']",
141,17,Aarburg,RhythmTalk,2013-01-12,['RhythmTalk '],
142,18,Mels,Loco-Slickers,2013-01-12,"['Loco Slickers ', ' Frequency Jones ', ' Dan Agent ', ' Micro Jackson ']",Electronic
143,19,Thun,Uristier,2013-01-12,['Uristier '],Pop
144,20,Mühle-Hunziken,Rubigen,2013-01-12,['Chica Torpedo '],
145,21,Zürich,I-Got-You-On-Tape,2013-01-12,['I Got You On Tape '],
146,22,Reussbühl,Empty-Fridge,2013-01-12,"[' Tom Linder ', ' Fabian Keist ', ' Claudio Burri ', ' Armando Bucher ']",
147,23,Zürich,Bright,2013-01-12,"[' Stefan Eberhard ', ' Reto Langenegger ', ' Alwin Büchler ', ' Dani Eberhard ']",
148,24,KiFF,Aarau,2013-01-12,[' live: Roy de Roy '],
149,25,Bern,Norient-Musikfilm-Festival,2013-01-12,['Big Freedia '],
150,26,Lausanne,Boys-Noize,2013-01-12,['Boys Noize '],Electronic
151,0,Zürich,ZKO-im-Kunsthaus-Giacometti,2013-01-13,[' conductor: Willi Zimmermann '],Classic
152,1,Zürich,Original-und-Bearbeitung,2013-01-13,"['Sabine Poyé Morel ', ' Esther Pitschen ', ' Haika Lübcke ', ' Janek Rosset ']",Classic
153,2,Zug,Liquid-Land,2013-01-13,"[' Simon Berz ', ' Moose Jackson ', ' Rob Cambre ', ' Justin Peake ', ' Aurora Nealand ']",
154,3,Baden,Klavierabend,2013-01-13,['Oliver Schnyder '],Classic
155,4,null,Podium-Junge-MusikerInnen,2013-01-13,"[' Meret Roth ', ' Aline Burla ', ' Cristina Janet ', ' Jonas Zürcher ']",Classic
156,5,Zürich,Konzert,2013-01-13,"[' Sarah Wegener ', ' Barbara Erni ', ' Michael Feyfar ', ' Dominik Wörner ']",Classic
157,6,Basel,Schwarz-auf-Weiss-Voll-Schrecken-wartet-man-auf-die-Musik,2013-01-13,"['Tilmann Zahn ', ' Markus Forrer ', ' Stefan Schramm ', ' Hannes Bärtschi ', ' Samuele Sciancalepore ', ' Christian Sutter ']",Classic
158,7,Zürich,Alp-Bora-Quartett,2013-01-13,"['Alp Bora Quartett ', ' Alp Bora ', ' Julia Pichler ', ' Raimund Seidl ', ' Soner Tezcan ']",
159,8,Basel,Heinz-Sauer-&-Michael-Wollny,2013-01-13,"[' Heinz Sauer ', ' Michael Wollny ']",
160,9,Zürich,Ron-Pope,2013-01-13,['Ron Pope '],Pop
161,10,Zürich,Liquid-Land,2013-01-13,"['Liquid Land ', ' Simon Berz ', ' Moose Jackson ', ' Rob Cambre ', ' Justin Peake ', ' Aurora Nealand ']",Electronic
162,11,Zürich,Orchester-Schlusskonzert,2013-01-13,"[' Felix Gubser ', ' Arlette Meier ', ' Emanuel Rütsche ']",Classic
163,12,Zürich,Daniel-Kahn-&-The-Painted-Bird-meet-the-Brothers-Nazaroff,2013-01-13,['Daniel Kahn & The Painted Bird meet the Brothers Nazaroff '],
164,0,null,Migros-Kulturprozent-Classics-2,2013-01-14,[' Emmanuel Pahud '],Classic
165,1,Basel,Liederabend,2013-01-14,"['Anne Sofie von Otter ', ' Simon Crawford-Phillips ']",Classic
166,2,Zürich,Konzert,2013-01-14,['Daniil Trifonov '],Classic
167,3,Basel,Masterkonzert,2013-01-14,[' Sonoko Ogowa '],Classic
168,4,Winterthur,Richard-Walters,2013-01-14,['Richard Walters '],Pop
169,5,Basel,Solo-Herren-Abend,2013-01-14,"['Wiktor Kociuban ', ' Friedemann A. Treiber ', ' Aleksander Gabry ']",Classic
170,6,Flawil,Corretto,2013-01-14,"[' Pino Buoro ', ' Ernst Waespe ', ' Nina Rechsteiner ']",
171,7,Restaurant-Isebähnli,Baden,2013-01-14,"[' Bernhard Bamert ', ' Christian Niederer ', ' Thomas Lüthi ']",Tré
172,8,Bern,Projektwoche-Jazz,2013-01-14,"[' Lisa Hasler ', ' Florian Möbes ', ' Oliver Illi ', ' Colin Vallon ', ' Florian Keller ', ' Christian Spahni ', ' Dejan Terzic ']",
173,0,Zürich,Lange-Nacht-der-Klaviermusik,2013-01-15,['Roberto Plano '],Classic
174,1,Zürich,Ruosch-Gerhards-Meyer,2013-01-15,"[' Dave Ruosch ', ' Kalli Gerhards ', ' Martin Meyer ']",
175,2,Basel,Kammermusik-Basel,2013-01-15,['Juilliard String Quartet '],Classic
176,3,Zürich,Migros-Kulturprozent-Classics,2013-01-15,[' Emmanuel Pahud '],Classic
177,4,Olten,Soirée-classique,2013-01-15,"['Noëmi Nadelmann ', ' André Desponds ']",Classic
178,5,Fri-Son,null,2013-01-15,['The Black Atlantic '],
179,6,Volkshaus,Zürich,2013-01-15,['Trey Songz '],
180,7,Zürich,Enter-Shikari,2013-01-15,"['Enter Shikari ', ' Cancer Bats ']",
181,8,Bern,Projektwoche-Jazz,2013-01-15,"[' Lisa Hasler ', ' Florian Möbes ', ' Florian Keller ', ' Christian Spahni ', ' Oliver Illi ']",
182,9,Zürich,Suisse-Diagonales-Jazz,2013-01-15,"[' Josquin Rosset ', ' Gabriel Meyer ', ' Jan Geiger ']",
183,10,Basel,Christoph-Neuhaus-Quintet-feat.-Adrian-Mears,2013-01-15,"[' Adrian Mears ', ' Christoph Neuhaus ', ' Niko Seibold ', ' Volker Engelberth ', ' Judith Goldbach ', ' Mareike Wiening ']",
184,11,Zürich,Skinny-Lister,2013-01-15,['Skinny Lister '],
185,0,Zürich,Mittagsmusik,2013-01-16,"['Martina Schucan ', ' Eckart Heiligers ']",Classic
186,1,Luzern,Jam-Night,2013-01-16,"['Aurel Hassler ', ' Christian Winiker ', ' Mani Zweili ', ' Mike Malloth ']",
187,2,Basel,Fünftes-Sinfoniekonzert,2013-01-16,[' Jens Peter Maintz '],Classic
188,3,Luzern,Pulcinella,2013-01-16,[' Leila Josefowicz '],Classic
189,4,Zürich,Konzert,2013-01-16,[' András Schiff '],Classic
190,5,Basel,Fonduta-cantante,2013-01-16,"['Lilia Tripodi ', ' Andrey Murphy ', ' Markus Nikänen ', ' Maestro David Cowan ']",Classic
191,6,Basel,In-Freundschaft,2013-01-16,"['Conductor: Marcus Weiss ', ' Christian Dierstein ']",Classic
192,7,Palais-des-Congrès,null,2013-01-16,[' Louis Schwizgebel '],Classic
193,8,Bern,Renaud-Garcia-Fons,2013-01-16,['Renaud Garcia-Fons '],
194,9,Basel,Christoph-Neuhaus-Quintet-feat.-Adrian-Mears,2013-01-16,"[' Adrian Mears ', ' Christoph Neuhaus ', ' Niko Seibold ', ' Volker Engelberth ', ' Judith Goldbach ', ' Mareike Wiening ']",
195,10,Zürich,Steamboat-Switzerland-X,2013-01-16,"[' Dominik Blum ', ' Marino Pliakas ', ' Lucas Niggli ']",
196,11,Bern,Projektwoche-Jazz,2013-01-16,"[' Rea Dubach ', ' Laura Schuler ', ' Ronnie Graupe ', ' Fabian Baur ', ' Lisa Hoppe ', ' Dejan Terzic ', ' Lino Blöchlinger ', ' Daniel Weber ', ' Django Bates ', ' Simone Hager ', ' Laura Wiesmann ', ' Patrice Moret ']",
197,12,KiFF,Aarau,2013-01-16,['The Black Atlantic '],
198,13,Zürich,Suisse-Diagonales-Jazz,2013-01-16,"[' Lionel Gafner ', ' Adrien Guerne ', ' Lionel Friedli ', ' Gaël Zwahlen ']",
199,14,Baden,Gregor-Loepfe-Trio,2013-01-16,[' Gregor Loepfe '],
200,0,Winterthur,New-Orleans-Soirée-Liquid-Land,2013-01-17,"['Aurora Nealand ', ' Moose Jackson ', ' Rob Cambre ', ' Justin Peake ', ' Christian Weber ', ' Simon Berz ']",Classic
201,1,Basel,Masterkonzert,2013-01-17,[' Matthew Lonson '],Classic
202,2,Luzern,Pulcinella,2013-01-17,[' Leila Josefowicz '],Classic
203,3,Zürich,Thursday-Night-Jazz,2013-01-17,"[' Rebecca Spiteri ', ' Jürg Ramspeck ', ' Joel Reiff ', ' Rolf Lyssy ']",
204,4,Zürich,Konzert,2013-01-17,[' András Schiff '],Classic
